item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,4650581742.0,5513287344.0,3981921711.0,6775200253.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,4650581742.0,5513287344.0,3981921711.0,6775200253.0
4. Giá vốn hàng bán ,4. Cost of goods sold,4295722916.0,5001364238.0,3704968446.0,6302169031.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,354858826.0,511923106.0,276953265.0,473031222.0
6.Doanh thu hoạt động tài chính ,6. Financial income,1352773.0,702217.0,577294.0,23910906.0
7. Chi phí tài chính ,7. Financial expenses,37473055.0,22802782.0,37314860.0,29304224.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,37473055.0,22802782.0,37240679.0,29176530.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,221051568.0,208093866.0,145056297.0,143681567.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,137156487.0,103737751.0,76186452.0,64271875.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,-39469511.0,177990925.0,18972951.0,259684462.0
12. Thu nhập khác ,12. Other income,97838988.0,80731448.0,29955880.0,40449220.0
13. Chi phí khác ,13.Other expenses,2334990.0,365866.0,798018.0,34606.0
14. Lợi nhuận khác,14. Other profit ,95503999.0,80365582.0,29157861.0,40414615.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,56034487.0,258356507.0,48130812.0,300099076.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,16866849.0,56813711.0,13265941.0,63775213.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),83867.0,-2026880.0,-2191587.0,-3408877.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,39083771.0,203569676.0,37056458.0,239732740.0
Lợi ích của cổ đông thiểu số,Minority's interest,33464389.0,78596452.0,2467281.0,352344.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,5619381.0,124973224.0,34589177.0,239380396.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),29.0,1163.0,375.0,4204.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,0.0,1.0,0.0,3.0
