item,item_en,2025,2024,2023,2022
I. Lưu chuyển tiền từ hoạt động kinh doanh, I. CASH FLOWS FROM OPERATING ACTIVITIES ,,,,
1. Lợi nhuận trước thuế,1. Profit before tax,270631854.0,1009351523.0,-1079816792.0,-2333941696.0
2. Điều chỉnh cho các khoản, 2. Adjustments for: ,,,,
 Khấu hao TSCĐ và BĐSĐT,Depreciation of fixed assets and properties investment,247400667.0,163603969.0,241775825.0,233929817.0
Các khoản dự phòng,(Reversal of provisions)/provisions,-211602878.0,-554717538.0,412928838.0,1745276205.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",Foreign exchange (gain)/loss from revaluation of monetary items denominated in foreign currencies,5266.0,16358.0,178601.0,59081.0
"Lãi, lỗ từ hoạt động đầu tư",Loss/(profit) from investment activities,-224334863.0,-742657284.0,-3778003.0,-28234340.0
Chi phí lãi vay,Interest expense,383048512.0,404156250.0,557095372.0,519852290.0
"Lãi, lỗ từ thanh lý TSCĐ",Loss/(profits) from disposal of fixed asset,,,,
Thu nhập lãi vay và cổ tức,Interest income and dividends,,,,
Phân bổ lợi thế thương mại,Allocation of goodwill,,,,
Điều chỉnh cho các khoản khác,Adjustments for,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Operating profit before changes in  working capital,465148557.0,279753278.0,128383840.0,136941356.0
"Tăng, giảm các khoản phải thu",(Increase)/decrease in receivables,808735942.0,876491770.0,2044659746.0,-899332414.0
"Tăng, giảm hàng tồn kho",(Increase)/decrease in inventories,103821917.0,-63154731.0,-74989354.0,-186009284.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Increase/(decrease) in payables (other than interest, corporate income tax)",341196695.0,-432073548.0,-585406557.0,659064556.0
"Tăng, giảm chi phí trả trước",(Increase)/decrease in prepaid expenses,-76068718.0,67898899.0,153344549.0,-42696206.0
"Tăng, giảm chứng khoán kinh doanh",Changes in available for sale securities,,,,
Tiền lãi vay đã trả,Interest paid,-363269914.0,-421887715.0,-548791535.0,-494805134.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate income tax paid,-12396195.0,-7295686.0,-3386163.0,-37496858.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,,,,
Tiền chi khác cho hoạt động kinh doanh,Other payments for operating activities,,63312.0,-1394917.0,-18734178.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Net cash flows from operating activities,1267168285.0,299795579.0,1112419609.0,-883068162.0
II. Lưu chuyển tiền từ hoạt động đầu tư, II. CASH FLOWS FROM INVESTING ACTIVITIES ,,,,
