item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,1881789252.0,1122771702.0,935670340.0,691959939.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,6232080.0,218941.0,244628.0,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,1875557172.0,1122552761.0,935425712.0,691959939.0
4. Giá vốn hàng bán ,4. Cost of goods sold,1768962657.0,1055711229.0,875518766.0,639496317.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,106594515.0,66841531.0,59906946.0,52463622.0
6.Doanh thu hoạt động tài chính ,6. Financial income,13611218.0,229507366.0,62074722.0,10804991.0
7. Chi phí tài chính ,7. Financial expenses,104506425.0,97992693.0,95614158.0,96881819.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,98574497.0,94858123.0,94379505.0,96375947.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,-1988767.0,-1483116.0,235048.0,981006.0
9. Chi phí bán hàng ,9. Selling expenses,14001974.0,10874746.0,6913690.0,7275240.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,8147420.0,14544897.0,93757790.0,-39780096.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,-8438854.0,171453445.0,-74068921.0,-127344.0
12. Thu nhập khác ,12. Other income,50745777.0,44401252.0,138130247.0,15588455.0
13. Chi phí khác ,13.Other expenses,33840063.0,13896152.0,16962123.0,5918863.0
14. Lợi nhuận khác,14. Other profit ,16905714.0,30505100.0,121168124.0,9669592.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,8466860.0,201958545.0,47099203.0,9542248.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,-1396542.0,2445028.0,4106996.0,94498.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-707571.0,11165824.0,992722.0,4053029.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,10570973.0,188347694.0,41999485.0,5394722.0
Lợi ích của cổ đông thiểu số,Minority's interest,-248356.0,6439234.0,215555.0,-27028.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,10819329.0,181908460.0,41783930.0,5421750.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),,,,
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
