item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,1468.91,1578.59,1474.94,1864.54
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),13466.41,14506.06,18179.94,17260.77
Chỉ số giá thị trường trên thu nhập (P/E),P/E,15.25,18.62,23.19,10.73
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.66,2.03,1.88,1.16
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,4.71,4.95,5.39,2.34
Tỷ suất cổ tức,Dividend yield,0.04,0.04,0.03,0.0
Beta,Beta,1.42,1.62,1.65,1.63
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,0.0,0.0,0.0,0.0
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,34.29,29.84,25.16,9.55
Tỷ suất lợi nhuận gộp biên,Gross profit margin,38.62,40.24,41.59,36.27
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,22.95,24.31,23.23,21.85
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,9.43,11.09,8.32,11.2
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,3.03,4.22,4.04,4.28
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,20.11,47.3,-25.59,-12.53
Tăng trưởng  lợi nhuận gộp,Gross profit,15.27,42.52,-14.68,-17.94
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,13.8,53.83,-21.13,-25.35
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,13.37,54.17,-20.9,-25.68
Tăng trưởng tổng tài sản,Total assets,48.37,74.98,15.95,-36.61
Tăng trưởng nợ dài hạn,Long-term liabilities,0.0,0.0,0.0,0.0
Tăng trưởng nợ phải trả,Liabilities,52.93,117.7,27.05,-55.67
Tăng trưởng vốn chủ sở hữu,Owner's equity,39.25,25.65,5.33,7.73
Tăng trưởng vốn điều lệ,Charter capital,49.94,57.36,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.12,0.1,0.29,0.75
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.12,0.1,0.29,0.75
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.45,1.49,1.85,2.02
