item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,1981.42,1653.55,1252.95,1584.04
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),22644.0,21807.0,23063.0,22546.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,13.78,19.53,20.23,16.63
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.21,1.48,1.1,1.17
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,11.41,16.77,14.6,14.81
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.02
Beta,Beta,1.37,1.32,1.36,1.35
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,34.49,42.06,118.81,47.5
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,16.77,19.58,23.77,32.88
Tỷ suất lợi nhuận gộp biên,Gross profit margin,68.76,69.53,43.51,66.97
Tỷ lệ lãi EBIT,EBIT margin,52.8,60.53,21.24,50.9
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,66.45,77.54,42.29,73.52
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,42.2,47.25,5.82,34.57
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,3.45,3.6,-0.32,2.07
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),3.76,3.49,1.03,2.57
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,1.94,1.98,-0.18,1.12
ROE bình quân 4 quý gần nhất,ROE Trailling,10.84,8.98,6.74,8.39
ROA bình quân 4 quý gần nhất,ROA Trailling,4.87,4.02,3.0,3.73
Tăng trưởng  doanh thu thuần,Net revenue,17.27,25.68,4.29,-29.4
Tăng trưởng  lợi nhuận gộp,Gross profit,10.26,47.25,-10.03,-8.46
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,70.68,76.64,-64.67,-28.17
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,84.98,107.1,0.0,-29.94
Tăng trưởng tổng tài sản,Total assets,5.72,3.74,2.12,-2.74
Tăng trưởng nợ dài hạn,Long-term liabilities,-5.11,-4.45,-1.31,-14.29
Tăng trưởng nợ phải trả,Liabilities,1.65,0.16,-0.1,-7.1
Tăng trưởng vốn chủ sở hữu,Owner's equity,9.03,6.78,4.1,1.2
Tăng trưởng vốn điều lệ,Charter capital,10.0,10.0,21.0,10.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.12,0.12,0.16,0.23
Tỷ số thanh toán nhanh,Quick ratio,1.28,1.17,1.09,1.16
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.63,0.58,0.54,0.58
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.62,1.54,1.53,1.56
Khả năng thanh toán lãi vay,Interest coverage,6.7,5.96,1.65,4.04
