item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,1999.85,1083.69,2426.62,4913.34
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),22644.3,21930.69,23642.15,26769.64
Chỉ số giá thị trường trên thu nhập (P/E),P/E,13.65,26.3,11.37,6.39
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.21,1.3,1.17,1.17
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,3.63,3.53,2.92,2.14
Tỷ suất cổ tức,Dividend yield,0.0,0.02,0.0,0.03
Beta,Beta,1.37,1.35,1.64,1.54
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,12.22,16.84,10.3,6.82
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,8.74,10.7,7.58,5.45
Tỷ suất lợi nhuận gộp biên,Gross profit margin,62.98,58.53,59.63,61.78
Tỷ lệ lãi EBIT,EBIT margin,47.32,33.69,50.18,58.78
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,66.21,53.01,68.17,73.54
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,33.89,16.46,29.98,38.03
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,8.96,4.77,9.66,18.35
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),10.89,7.69,12.12,17.98
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,4.94,2.46,4.5,7.07
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,2.51,-5.94,-19.32,-5.2
Tăng trưởng  lợi nhuận gộp,Gross profit,10.29,-7.68,-22.12,-4.64
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,79.03,-40.54,-39.95,-2.35
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,102.57,-47.63,-39.3,-0.08
Tăng trưởng tổng tài sản,Total assets,6.38,-4.08,-4.41,-4.95
Tăng trưởng nợ dài hạn,Long-term liabilities,-5.04,-11.22,-7.38,-15.11
Tăng trưởng nợ phải trả,Liabilities,-1.82,-10.21,-15.75,-18.52
Tăng trưởng vốn chủ sở hữu,Owner's equity,13.58,2.04,10.4,21.48
Tăng trưởng vốn điều lệ,Charter capital,10.0,10.0,25.0,24.57
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.12,0.16,0.11,0.21
Tỷ số thanh toán nhanh,Quick ratio,1.28,1.11,0.98,0.75
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.63,0.5,0.27,0.21
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.62,1.51,1.44,1.17
Khả năng thanh toán lãi vay,Interest coverage,4.51,2.67,2.98,4.2
