item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,37750.34,15160.6,4601.38,4524.64
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),37754.78,27234.99,16570.36,15269.75
Chỉ số giá thị trường trên thu nhập (P/E),P/E,6.35,15.22,7.82,8.07
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,6.35,8.47,2.17,2.39
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,4.35,7.85,2.44,2.16
Tỷ suất cổ tức,Dividend yield,0.1,0.02,0.07,0.15
Beta,Beta,0.55,-0.17,-0.01,-0.05
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,4.66,12.2,5.86,6.1
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,83.46,64.69,46.76,62.19
Tỷ lệ lãi EBIT,EBIT margin,85.24,62.03,39.47,33.87
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,86.08,63.26,42.73,37.01
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,68.46,49.44,31.22,26.84
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,116.17,67.75,28.9,28.06
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),140.28,81.13,34.21,33.15
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,90.72,55.19,24.15,23.76
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,87.55,110.86,-12.59,30.4
Tăng trưởng  lợi nhuận gộp,Gross profit,141.96,191.72,-34.27,49.0
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,157.71,231.36,1.87,-46.85
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,159.7,233.91,1.7,-49.78
Tăng trưởng tổng tài sản,Total assets,46.82,77.88,10.83,-9.65
Tăng trưởng nợ dài hạn,Long-term liabilities,-1.71,-0.8,-0.26,-1.74
Tăng trưởng nợ phải trả,Liabilities,81.24,97.77,23.38,-7.12
Tăng trưởng vốn chủ sở hữu,Owner's equity,38.63,73.73,8.52,-10.1
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,1.91,1.53,0.81,0.98
Tỷ số thanh toán nhanh,Quick ratio,3.63,4.65,4.73,5.07
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",3.55,4.47,4.34,4.34
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,3.81,4.99,5.95,7.0
Khả năng thanh toán lãi vay,Interest coverage,0.0,0.0,0.0,0.0
