item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,1205947448.0,913523162.0,947061533.0,735015630.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,1205947448.0,913523162.0,947061533.0,735015630.0
4. Giá vốn hàng bán ,4. Cost of goods sold,751837439.0,523983363.0,559905029.0,348848245.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,454110008.0,389539799.0,387156504.0,386167385.0
6.Doanh thu hoạt động tài chính ,6. Financial income,15134142.0,14541525.0,14706133.0,13889034.0
7. Chi phí tài chính ,7. Financial expenses,232793380.0,236719828.0,226962233.0,220578333.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,229834276.0,233760724.0,224003129.0,217619229.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,19137100.0,20545522.0,20111917.0,30793048.0
9. Chi phí bán hàng ,9. Selling expenses,,,,
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,20655282.0,17791887.0,19844417.0,16925302.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,234932588.0,170115131.0,175167904.0,193345831.0
12. Thu nhập khác ,12. Other income,38493.0,3742698.0,94998.0,1105090.0
13. Chi phí khác ,13.Other expenses,143501.0,130888.0,470771.0,4099.0
14. Lợi nhuận khác,14. Other profit ,-105008.0,3611810.0,-375773.0,1100992.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,234827580.0,173726941.0,174792130.0,194446823.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,35358873.0,23208136.0,24984151.0,22225389.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-2239210.0,-1885490.0,-1546988.0,-746172.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,201707917.0,152404295.0,151354968.0,172967606.0
Lợi ích của cổ đông thiểu số,Minority's interest,19920089.0,23536048.0,20708814.0,26730787.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,181787828.0,128868247.0,130646154.0,146236819.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),377.0,267.0,286.0,338.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,0.0,0.0,0.0,0.0
