item,item_en,2024,2023,2022,2021
I. Lưu chuyển tiền từ hoạt động kinh doanh, I. CASH FLOWS FROM OPERATING ACTIVITIES ,,,,
1. Lợi nhuận trước thuế,1. Profit before tax,168962195.0,139911232.0,158388697.0,102380728.0
2. Điều chỉnh cho các khoản, 2. Adjustments for: ,,,,
 Khấu hao TSCĐ và BĐSĐT,Depreciation of fixed assets and properties investment,35031139.0,57388649.0,57471555.0,46482240.0
Các khoản dự phòng,(Reversal of provisions)/provisions,,,,
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",Foreign exchange (gain)/loss from revaluation of monetary items denominated in foreign currencies,,,,
"Lãi, lỗ từ hoạt động đầu tư",Loss/(profit) from investment activities,-12171687.0,-12958018.0,-10788469.0,-4783560.0
Chi phí lãi vay,Interest expense,101961.0,401914.0,-513373.0,226371.0
"Lãi, lỗ từ thanh lý TSCĐ",Loss/(profits) from disposal of fixed asset,,,,
Thu nhập lãi vay và cổ tức,Interest income and dividends,,,,
Phân bổ lợi thế thương mại,Allocation of goodwill,,,,
Điều chỉnh cho các khoản khác,Adjustments for,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Operating profit before changes in  working capital,191923608.0,184743776.0,204558410.0,144305780.0
"Tăng, giảm các khoản phải thu",(Increase)/decrease in receivables,27354105.0,-51980734.0,59407185.0,-45509413.0
"Tăng, giảm hàng tồn kho",(Increase)/decrease in inventories,34364561.0,-40876991.0,-22092867.0,-6545964.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Increase/(decrease) in payables (other than interest, corporate income tax)",33839671.0,126950090.0,-72807713.0,50362197.0
"Tăng, giảm chi phí trả trước",(Increase)/decrease in prepaid expenses,-6312285.0,-1315379.0,5318989.0,3317913.0
"Tăng, giảm chứng khoán kinh doanh",Changes in available for sale securities,,,,
Tiền lãi vay đã trả,Interest paid,-401914.0,-401914.0,513373.0,-226371.0
Thuế thu nhập doanh nghiệp đã nộp,Corporate income tax paid,-28604192.0,-31837320.0,-20570362.0,-16516580.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,,,,
Tiền chi khác cho hoạt động kinh doanh,Other payments for operating activities,-102094.0,-471528.0,-122400.0,-81500.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Net cash flows from operating activities,252061460.0,184810001.0,154204617.0,129106061.0
II. Lưu chuyển tiền từ hoạt động đầu tư, II. CASH FLOWS FROM INVESTING ACTIVITIES ,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Payment for fixed assets, constructions and other long-term assets",-13758498.0,-72569640.0,-10530437.0,-93442409.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",2. Receipts from disposal of fixed assets and other long-term assets,258437.0,502490.0,164545.0,454841.0
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Loans, purchases of other entities' debt instruments ",-189508369.0,-232800000.0,-266237806.0,-50252055.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Receipts from loan repayments, sale of other entities' debt instruments ",74956854.0,216344930.0,220744930.0,
5. Tiền chi đầu tư góp vốn vào đơn vị khác,5. Payments for investment in other entities,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,6. Collections on investment in other entities,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Dividends, interest and profit received",9998090.0,12219395.0,10241381.0,3929153.0
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,8. Increase/(Decrease) in term deposit,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,9. Purchases of minority shares of subsidiaries,,,,
10. Tiền thu khác từ hoạt động đầu tư,10. Other receipts from investing activities,,,,
11. Tiền chi khác cho hoạt động đầu tư,11. Other payments for investing activities,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,Net cash flows from investing activities,-118053486.0,-76302824.0,-45617387.0,-139310470.0
III. Lưu chuyển tiền từ hoạt động tài chính, III. CASH FLOWS FROM FINANCING ACTIVITIES ,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",1. Receipts from equity issue and owner's capital contribution,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",2. Payment for share repurchases ,,,,
3. Tiền thu từ đi vay,3. Proceeds from borrowings,39866156.0,35311830.0,199108452.0,66434679.0
4. Tiền trả nợ gốc vay, 4. Principal repayments  ,-29866156.0,-35311830.0,-230251884.0,-35291247.0
5. Tiền trả nợ gốc thuê tài chính,5. Repayment of financial leases,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu ","6. Dividends paid, profits distributed to owners",-27850000.0,-46370000.0,-31909830.0,-6010174.0
7. Tiền thu khác từ hoạt động tài chính,7. Other receipts from financing activities,,,,
8. Tiền chi khác cho hoạt động tài chính,8. Other payments for financing activities,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,Net cash flows from financing activities,-17850000.0,-46370000.0,-63053263.0,25133258.0
Lưu chuyển tiền thuần trong kỳ,Net cash flows during the period ,116157974.0,62137177.0,45533968.0,14928849.0
Tiền và tương đương tiền đầu kỳ,Cash and cash equivalents at beginning of the period,223786252.0,161649075.0,116115108.0,101186259.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Exchange difference due to re-valuation of ending balances,,,,
Tiền và tương đương tiền cuối kỳ,Cash and cash equivalents at end of the period,339944226.0,223786252.0,161649075.0,116115108.0
