item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,842.88,785.0,796.79,866.35
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),12119.0,12061.0,12191.0,11747.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,12.93,14.65,14.81,14.77
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.9,0.95,0.97,1.09
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,2.64,2.82,1.99,2.41
Tỷ suất cổ tức,Dividend yield,0.01,0.05,0.04,0.04
Beta,Beta,0.44,0.45,0.41,0.32
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,147.43,-336.45,21.88,34.97
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,2.21,-0.05,9.96,7.79
Tỷ lệ lãi EBIT,EBIT margin,1.48,-0.74,9.07,7.02
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,7.19,5.18,13.14,11.56
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,1.39,-0.74,8.13,6.25
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,0.47,-0.25,4.04,2.86
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),0.51,-0.25,4.5,3.17
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,0.41,-0.22,3.38,2.31
ROE bình quân 4 quý gần nhất,ROE Trailling,7.01,6.57,6.65,7.22
ROA bình quân 4 quý gần nhất,ROA Trailling,5.97,5.6,5.58,5.91
Tăng trưởng  doanh thu thuần,Net revenue,-15.21,-13.71,-13.92,-4.7
Tăng trưởng  lợi nhuận gộp,Gross profit,17.13,0.0,-8.2,-0.68
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,0.0,0.0,-7.73,13.38
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,0.0,0.0,-12.58,7.38
Tăng trưởng tổng tài sản,Total assets,2.97,-7.43,-10.19,-2.95
Tăng trưởng nợ dài hạn,Long-term liabilities,-27.26,-25.4,-25.19,-24.98
Tăng trưởng nợ phải trả,Liabilities,3.07,-43.89,-49.73,-12.58
Tăng trưởng vốn chủ sở hữu,Owner's equity,2.94,-1.32,-0.41,-0.03
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.73,1.21,0.0,0.01
Tỷ số thanh toán nhanh,Quick ratio,2.83,5.0,3.75,2.07
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",1.33,1.31,0.0,0.02
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,3.4,6.15,4.86,2.64
Khả năng thanh toán lãi vay,Interest coverage,0.0,0.0,275.36,99.27
