item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,2019.03,1381.01,1271.35,1227.67
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),15465.85,14666.92,14441.55,14321.64
Chỉ số giá thị trường trên thu nhập (P/E),P/E,10.5,12.45,12.27,13.85
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.37,1.17,1.08,1.19
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.13,0.99,1.02,1.18
Tỷ suất cổ tức,Dividend yield,0.04,0.05,0.05,0.05
Beta,Beta,0.43,0.26,-0.56,-0.24
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,9.82,11.06,11.05,14.18
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,5.27,5.28,4.87,5.5
Tỷ suất lợi nhuận gộp biên,Gross profit margin,38.03,37.55,39.8,39.79
Tỷ lệ lãi EBIT,EBIT margin,17.67,15.21,16.68,14.72
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,32.93,31.84,37.88,37.9
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,11.42,8.59,9.03,9.21
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,13.4,9.49,8.84,8.61
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),13.02,10.36,9.72,7.73
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,7.19,4.92,4.4,3.99
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,7.83,13.85,5.41,4.85
Tăng trưởng  lợi nhuận gộp,Gross profit,9.23,7.41,5.45,16.67
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,43.28,8.13,3.57,1.87
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,46.2,8.63,3.56,1.84
Tăng trưởng tổng tài sản,Total assets,0.89,-0.53,-5.36,-6.48
Tăng trưởng nợ dài hạn,Long-term liabilities,-5.37,-5.15,-9.71,-12.52
Tăng trưởng nợ phải trả,Liabilities,-4.14,-2.74,-11.13,-12.51
Tăng trưởng vốn chủ sở hữu,Owner's equity,5.45,1.56,0.84,1.0
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.09,0.09,0.08,0.28
Tỷ số thanh toán nhanh,Quick ratio,3.64,3.07,2.78,2.01
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",3.47,2.79,2.43,1.63
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,4.03,3.37,3.09,2.24
Khả năng thanh toán lãi vay,Interest coverage,5.2,3.41,3.11,4.59
