item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,28851542.0,33591894.0,22011081.0,72847375.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,10375867.0,13473267.0,32845966.0,23917247.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,18475675.0,20118627.0,-10834885.0,48930128.0
4. Giá vốn hàng bán ,4. Cost of goods sold,15950200.0,14208644.0,7083825.0,25968761.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,2525474.0,5909983.0,-17918709.0,22961368.0
6.Doanh thu hoạt động tài chính ,6. Financial income,56033363.0,14546436.0,28780737.0,22091203.0
7. Chi phí tài chính ,7. Financial expenses,32056491.0,8032703.0,37185869.0,18372894.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,32026193.0,8015130.0,37164136.0,18372894.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,160147.0,3595155.0,21791.0,132899.0
9. Chi phí bán hàng ,9. Selling expenses,2085990.0,2447455.0,1592924.0,677596.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,-19150679.0,7634676.0,3703165.0,21010316.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,43727182.0,5936740.0,-31598139.0,5124663.0
12. Thu nhập khác ,12. Other income,26870255.0,4293714.0,38684983.0,3744090.0
13. Chi phí khác ,13.Other expenses,1779125.0,73588.0,855244.0,2450900.0
14. Lợi nhuận khác,14. Other profit ,25091130.0,4220126.0,37829739.0,1293190.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,68818313.0,10156866.0,6231600.0,6417853.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,13736334.0,1401348.0,1332448.0,1256991.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,55081979.0,8755518.0,4899153.0,5160862.0
Lợi ích của cổ đông thiểu số,Minority's interest,2043.0,1163.0,2274.0,4413.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,55079936.0,8754355.0,4896879.0,5156450.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),96.0,15.0,8.0,9.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
