item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,8799.12,9891.03,9748.31,8109.32
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),30901.0,31925.0,29676.0,27248.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,4.92,4.61,4.45,5.86
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.4,1.43,1.46,1.74
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.19,1.08,1.19,1.34
Tỷ suất cổ tức,Dividend yield,0.06,0.07,0.07,0.11
Beta,Beta,0.44,0.15,0.3,0.14
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,33.15,20.73,13.45,31.05
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,25.35,11.74,8.64,21.72
Tỷ suất lợi nhuận gộp biên,Gross profit margin,9.88,10.34,16.51,10.04
Tỷ lệ lãi EBIT,EBIT margin,6.61,7.31,13.31,6.26
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,10.41,7.82,15.92,8.96
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,4.07,5.36,9.96,4.52
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,4.69,7.08,12.59,5.9
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),6.25,8.4,14.12,6.89
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,1.47,2.37,4.34,1.97
ROE bình quân 4 quý gần nhất,ROE Trailling,30.61,36.01,37.44,32.91
ROA bình quân 4 quý gần nhất,ROA Trailling,9.63,11.54,12.09,10.3
Tăng trưởng  doanh thu thuần,Net revenue,-1.82,1.31,19.7,8.32
Tăng trưởng  lợi nhuận gộp,Gross profit,-21.38,-4.68,42.91,14.51
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-40.73,6.33,85.94,26.92
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-42.57,7.0,84.29,24.5
Tăng trưởng tổng tài sản,Total assets,27.91,26.95,9.29,6.31
Tăng trưởng nợ dài hạn,Long-term liabilities,40.51,2.71,-1.0,-6.25
Tăng trưởng nợ phải trả,Liabilities,31.38,29.24,3.08,3.76
Tăng trưởng vốn chủ sở hữu,Owner's equity,20.41,22.54,23.78,11.39
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.17,0.39,0.28,0.25
Tỷ số thanh toán nhanh,Quick ratio,0.82,0.99,0.82,0.83
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.51,0.65,0.45,0.4
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.18,1.28,1.27,1.24
Khả năng thanh toán lãi vay,Interest coverage,5.12,9.21,14.51,8.09
