item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,8799.11,7802.69,5133.95,9605.66
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),30900.76,25663.74,23242.86,29481.06
Chỉ số giá thị trường trên thu nhập (P/E),P/E,4.92,6.15,6.05,2.85
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.4,1.87,1.34,0.93
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.29,0.34,0.24,0.16
Tỷ suất cổ tức,Dividend yield,0.06,0.1,0.21,0.04
Beta,Beta,0.44,0.16,0.97,1.11
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,6.34,6.2,7.28,4.53
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,4.86,4.7,4.86,3.35
Tỷ suất lợi nhuận gộp biên,Gross profit margin,11.65,11.61,9.19,11.7
Tỷ lệ lãi EBIT,EBIT margin,8.35,7.7,5.3,7.04
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,10.89,10.15,7.94,9.51
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,5.96,5.54,3.61,5.21
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,31.11,31.91,19.98,34.24
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),35.61,35.73,22.42,34.1
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,9.51,10.35,7.02,11.12
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,6.06,8.57,-8.64,33.16
Tăng trưởng  lợi nhuận gộp,Gross profit,6.47,37.04,-28.21,35.62
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,13.6,67.39,-37.53,52.39
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,12.77,63.34,-34.69,39.93
Tăng trưởng tổng tài sản,Total assets,27.91,16.53,4.72,2.3
Tăng trưởng nợ dài hạn,Long-term liabilities,40.51,-9.27,-16.12,-12.35
Tăng trưởng nợ phải trả,Liabilities,31.38,19.59,10.65,-10.48
Tăng trưởng vốn chủ sở hữu,Owner's equity,20.41,10.42,-5.39,35.29
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,20.0,27.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.17,0.26,0.15,0.02
Tỷ số thanh toán nhanh,Quick ratio,0.82,0.73,0.69,0.54
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.51,0.4,0.27,0.13
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.18,1.17,1.22,1.3
Khả năng thanh toán lãi vay,Interest coverage,8.89,9.85,6.47,14.66
