item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,6515.8,11637.78,15809.55,17083.57
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),17125.0,16625.0,26008.0,22993.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,5.74,3.49,4.05,4.19
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,2.18,2.44,2.46,3.11
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,23.72,36.39,6.98,8.05
Tỷ suất cổ tức,Dividend yield,0.05,0.11,0.07,0.05
Beta,Beta,0.67,0.7,0.57,0.36
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,54.14,351.37,11.52,18.54
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,34.23,0.61,56.17,46.28
Tỷ lệ lãi EBIT,EBIT margin,41.76,9.82,56.72,40.57
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,42.61,11.01,56.87,41.75
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,31.68,7.79,45.42,32.34
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,2.96,0.51,16.99,13.33
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),1.77,0.3,9.59,7.0
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,1.18,0.2,6.57,4.44
ROE bình quân 4 quý gần nhất,ROE Trailling,31.78,53.57,67.88,74.08
ROA bình quân 4 quý gần nhất,ROA Trailling,12.48,19.63,22.85,22.29
Tăng trưởng  doanh thu thuần,Net revenue,-78.71,-79.49,2.94,276.73
Tăng trưởng  lợi nhuận gộp,Gross profit,-88.48,-99.71,7.79,653.82
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-85.61,-94.42,14.95,503.88
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-86.2,-94.46,14.57,501.98
Tăng trưởng tổng tài sản,Total assets,-4.55,-4.01,4.96,5.17
Tăng trưởng nợ dài hạn,Long-term liabilities,1.6,1.55,-2.91,-1.86
Tăng trưởng nợ phải trả,Liabilities,-18.7,-19.4,-16.23,-15.8
Tăng trưởng vốn chủ sở hữu,Owner's equity,27.67,37.09,64.19,87.51
Tăng trưởng vốn điều lệ,Charter capital,50.0,50.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.5,0.37,0.55,0.44
Tỷ số thanh toán nhanh,Quick ratio,4.87,3.72,4.64,2.95
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",4.12,3.1,3.86,2.33
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,6.25,4.85,5.93,3.98
Khả năng thanh toán lãi vay,Interest coverage,144.33,0.0,18635.95,1706.62
