item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,8588311505.0,8846468727.0,7237031763.0,7485474354.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,161734.0,58217.0,,84602.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,8588149772.0,8846410510.0,7237031763.0,7485389752.0
4. Giá vốn hàng bán ,4. Cost of goods sold,5528143612.0,5509150910.0,4813899911.0,4425566350.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,3060006159.0,3337259600.0,2423131852.0,3059823402.0
6.Doanh thu hoạt động tài chính ,6. Financial income,321804693.0,168019715.0,221222894.0,143805777.0
7. Chi phí tài chính ,7. Financial expenses,145565294.0,136128794.0,188679474.0,185623983.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,142471673.0,130327583.0,184925819.0,178612837.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,58570.0,1883218.0,1474699.0,-123459299.0
9. Chi phí bán hàng ,9. Selling expenses,94936681.0,122640066.0,114958202.0,85871441.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,301202859.0,275142931.0,247396870.0,247956771.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,2840164587.0,2973250742.0,2094794899.0,2560717685.0
12. Thu nhập khác ,12. Other income,97965222.0,31611016.0,15524793.0,122373835.0
13. Chi phí khác ,13.Other expenses,20384409.0,11595270.0,53542476.0,65473518.0
14. Lợi nhuận khác,14. Other profit ,77580813.0,20015746.0,-38017684.0,56900317.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,2917745401.0,2993266489.0,2056777215.0,2617618002.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,619569014.0,639981783.0,507679994.0,563832938.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-55904689.0,-39068821.0,-106948155.0,-906131.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,2354081075.0,2392353526.0,1656045376.0,2054691195.0
Lợi ích của cổ đông thiểu số,Minority's interest,422289615.0,396298410.0,262398182.0,287184162.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,1931791460.0,1996055116.0,1393647193.0,1767507033.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),5090.0,5976.0,4223.0,5605.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,5.0,6.0,,
