item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,634720516.0,708582404.0,194819331.0,155686372.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,37233456.0,37004002.0,20688500.0,6055725.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,597487060.0,671578401.0,174130831.0,149630647.0
4. Giá vốn hàng bán ,4. Cost of goods sold,344710927.0,350130272.0,23544845.0,64030141.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,252776133.0,321448129.0,150585986.0,85600507.0
6.Doanh thu hoạt động tài chính ,6. Financial income,11066717.0,2139340.0,1709458.0,375045.0
7. Chi phí tài chính ,7. Financial expenses,21400922.0,15370122.0,22653551.0,9258830.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,15704533.0,9757799.0,11597719.0,9255892.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,-9150920.0,72907576.0,43819265.0,7068227.0
9. Chi phí bán hàng ,9. Selling expenses,51442351.0,58679121.0,7875405.0,9425641.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,26754025.0,18891997.0,19282021.0,18154827.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,155094632.0,303553806.0,146303732.0,56204480.0
12. Thu nhập khác ,12. Other income,7317786.0,4181000.0,5406621.0,2692324.0
13. Chi phí khác ,13.Other expenses,4965311.0,8666703.0,5290067.0,3942625.0
14. Lợi nhuận khác,14. Other profit ,2352475.0,-4485702.0,116554.0,-1250300.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,157447107.0,299068104.0,146420286.0,54954180.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,37175695.0,44685301.0,19469921.0,9497085.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,120271412.0,254382803.0,126950365.0,45457095.0
Lợi ích của cổ đông thiểu số,Minority's interest,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,120271412.0,254382803.0,126950365.0,45457095.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),170.0,640.0,318.0,111.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,0.0,1.0,0.0,0.0
