item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,1996682120.0,1808526845.0,1719261000.0,1830505624.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,94700607.0,56953971.0,74296202.0,163710133.0
1. Tiền,1. Cash,94700607.0,56953971.0,74296202.0,163710133.0
2. Các khoản tương đương tiền,2. Cash equivalents,,,,
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,20251852.0,21143123.0,21143123.0,21143123.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,20251852.0,21143123.0,21143123.0,21143123.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,1759078168.0,1663636392.0,1558664540.0,1557626188.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,115291613.0,172710359.0,207043628.0,238676464.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,302860717.0,327168846.0,324308677.0,323264451.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,1340925838.0,1163757188.0,1027312234.0,995685273.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),,,,
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,113848089.0,63312016.0,63312016.0,82213449.0
1. Hàng tồn kho,1. Inventories,113848089.0,63312016.0,63312016.0,82213449.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,8803404.0,3481343.0,1845119.0,5812730.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,6606212.0,3480117.0,1843678.0,3355301.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,2197192.0,1225.0,1441.0,657136.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,,,,1800294.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,4993468111.0,5075768945.0,5099426282.0,4860460010.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,4729870104.0,4815628820.0,4838896329.0,4599166329.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,4729870104.0,4815628820.0,4838896329.0,4599166329.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,201059.0,230218.0,263807.0,346714.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,201059.0,230218.0,263807.0,316199.0
      - Nguyên giá,    - Cost,4447928.0,4447928.0,4447928.0,4447928.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-4246869.0,-4217710.0,-4184122.0,-4131729.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,,,,30515.0
      - Nguyên giá,    - Cost,575366.0,575366.0,575366.0,575366.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-575366.0,-575366.0,-575366.0,-544850.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,218361237.0,218575793.0,217219663.0,216530404.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,4526237.0,4526237.0,3889663.0,3200404.0
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,213835000.0,214049556.0,213330000.0,213330000.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,,,,
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",,,,
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,45035711.0,41334114.0,43046483.0,44416563.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,45035711.0,41334114.0,43046483.0,44416563.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,6990150231.0,6884295790.0,6818687282.0,6690965634.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,1703893081.0,1610396360.0,1563005406.0,1455773509.0
I. Nợ ngắn hạn,I. Short -term liabilities,907817081.0,943908360.0,899043406.0,798316509.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,7505046.0,9207872.0,7861462.0,19573741.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,1574909.0,1574909.0,1074909.0,1074909.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,22830660.0,32550239.0,17997715.0,22136850.0
