item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
A. TÀI SẢN,ASSETS,,,,
"I. Tiền mặt, vàng bạc, đá quý","I. Cash, gold and silver, precious stones",602139000.0,598803000.0,769709000.0,589729000.0
II. Tiền gửi tại NHNN,II. Balances with the State Bank of Vietnam,5803001000.0,5201742000.0,6340928000.0,5495236000.0
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",III. Placements at and loans to other credit institutions,16164800000.0,11943101000.0,10338801000.0,12301168000.0
"1. Tiền, vàng gửi tại các TCTD khác",1. Placements at other credit institutions,16164800000.0,11943101000.0,10338801000.0,12301168000.0
2. Cho vay các TCTD khác,2. Loans to other credit institutions,,,,
3. Dự phòng rủi ro cho vay các TCTD khác ,3. Provisions for losses and risks,,,,
IV. Chứng khoán kinh doanh,IV. Trading securities,,,,252038000.0
1. Chứng khoán kinh doanh ,1. Trading securities,,,,252038000.0
2. Dự phòng giảm giá chứng khoán kinh doanh ,2. Provisions for diminution in value of trading securities ,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,V. Derivatives and other financial assets,224532000.0,,,
VI. Cho vay khách hàng,"VI. Loans, advances and finance leases to customers",70413492000.0,69853441000.0,68416125000.0,66941239000.0
1. Cho vay và cho thuê tài chính khách hàng,"1. Loans, advances and finance leases to customers",71587702000.0,70922390000.0,69547023000.0,67958822000.0
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng ,"2. Provisions for losses on loans, advances and finance leases to customers ",-1174210000.0,-1068949000.0,-1130898000.0,-1017583000.0
VII. Hoạt động mua nợ,VII. Debt purchased,,,,
1. Mua nợ,1. Debt purchased,,,,
2. Dự phòng rủi ro hoạt động mua nợ,2. Provision for debt purchased,,,,
VIII. Chứng khoán đầu tư,VIII. Investment securities,3013321000.0,3014843000.0,2971035000.0,2972492000.0
1. Chứng khoán đầu tư sẵn sàng để bán,1. Available-for-sales securities,1343760000.0,1343781000.0,1298473000.0,1298445000.0
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,2. Held to maturity securities,1669561000.0,1671062000.0,1672562000.0,1674047000.0
3. Dự phòng giảm giá chứng khoán đầu tư ,3. Provisions for diminution in value of investment securities,,,,
"IX. Góp vốn, đầu tư dài hạn",IX. Capital contribution and other long-term investments,,,,
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
"2. Đầu tư vào công ty liên doanh, liên kết","2.  Investments in associates, joint-ventures",,,,
3. Đầu tư dài hạn khác,3. Other long-term investments,,,,
4. Dự phòng giảm giá đầu tư dài hạn ,4. Provision for diminution in value of long-term investments ,,,,
X. Tài sản cố định,X. Fixed assets,1382212000.0,1382039000.0,1393870000.0,1396295000.0
1. Tài sản cố định hữu hình ,1. Tangible fixed assets,611839000.0,608583000.0,615141000.0,611628000.0
a. Nguyên giá TSCĐ,a. Cost,1208441000.0,1197402000.0,1189582000.0,1173118000.0
b. Hao mòn TSCĐ ,b. Accumulated depreciation,-596602000.0,-588819000.0,-574441000.0,-561490000.0
2. Tài sản cố định thuê tài chính,2. Finance leased fixed assets,,,,
a. Nguyên giá TSCĐ,a. Cost,,,,
b. Hao mòn TSCĐ ,b. Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,770373000.0,773456000.0,778729000.0,784667000.0
a. Nguyên giá TSCĐ,a. Cost,936126000.0,934126000.0,934126000.0,934126000.0
b. Hao mòn TSCĐ ,b. Accumulated depreciation,-165753000.0,-160670000.0,-155397000.0,-149459000.0
XI. Bất động sản đầu tư,XI. Investment properties,,,,
a. Nguyên giá BĐSĐT,a. Cost,,,,
b. Hao mòn BĐSĐT ,b. Accumulated depreciation,,,,
"XII. Tài sản ""Có"" khác",XII. Other assets,5699192000.0,5722081000.0,7400015000.0,7216253000.0
1. Các khoản phải thu,1.  Accounts receivables,3364338000.0,3938304000.0,5402472000.0,5570593000.0
"2. Các khoản lãi, phí phải thu",2. Interest and fee receivables,1806299000.0,1401090000.0,1631269000.0,1237975000.0
3. Tài sản thuế TNDN hoãn lại,3. Deferred income tax assets,,,,
4. Tài sản Có khác,4. Other assets,658472000.0,477033000.0,460620000.0,507041000.0
   - Trong đó: Lợi thế thương mại,   - Of which: Goodwill,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác ,5. Provisions for risks in other assets ,-129917000.0,-94346000.0,-94346000.0,-99356000.0
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS ,103302689000.0,97716050000.0,97630483000.0,97164450000.0
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B. LIABILITIES AND OWNER'S EQUITY,,,,
I. Các khoản nợ Chính phủ và NHNN,I. Due to Government and borrowings from the State Bank of Vietnam,,,,
II. Tiền gửi và vay các TCTD khác,II. Placements and borrowings from other credit institutions,15875437000.0,11610201000.0,10065896000.0,12267717000.0
1. Tiền gửi của các TCTD khác,1. Placements from other credit institutions,15867227000.0,11601988000.0,10057614000.0,12259448000.0
2. Vay các TCTD khác,2. Borrowings from other credit institutions,8210000.0,8213000.0,8282000.0,8269000.0
III. Tiền gửi của khách hàng,III. Deposits from customers,72010409000.0,70898237000.0,73173554000.0,70989972000.0
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,IV. Derivatives and other financial liabilities,,25061000.0,35876000.0,9829000.0
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","V. Funds received from Government and institutions, investments on behalf of investors, syndicated loans of the Bank's risks",,,,
VI. Phát hành giấy tờ có giá,"VI. Valuable papers (e.g. bonds, CDs..)",3475125000.0,4982664000.0,4082122000.0,4021556000.0
VII. Các khoản nợ khác,VII. Other liabilities,3525215000.0,2475600000.0,3026892000.0,3041164000.0
"1. Các khoản lãi, phí phải trả",1. Interest and fee payables,1388819000.0,1283883000.0,1153731000.0,1014683000.0
2. Thuế TNDN hoãn lại phải trả ,2. Deferred income tax liabilities,,,,
3. Các khoản phải trả và công nợ khác,3. Other liabilities,2136396000.0,1191717000.0,1873161000.0,2026481000.0
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),4. Provisions for contingent liabilities and off-balance sheet commitments,,,,
TỔNG NỢ PHẢI TRẢ,TOTAL LIABILITIES,94886186000.0,89991763000.0,90384340000.0,90330238000.0
VIII. Vốn và các quỹ,VIII. Capital and Reserves,8416503000.0,7724287000.0,7246143000.0,6834212000.0
1. Vốn của TCTD,1. Capital,5787505000.0,5787505000.0,3618619000.0,3618619000.0
a. Vốn điều lệ,a. Charter capital,5821705000.0,5821705000.0,3652819000.0,3652819000.0
