item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,2063543187.0,2013574627.0,1984914732.0,2058952095.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,404335526.0,15826812.0,103747605.0,122310178.0
1. Tiền,1. Cash,404335526.0,15826812.0,103747605.0,112310178.0
2. Các khoản tương đương tiền,2. Cash equivalents,,,,10000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,8360000.0,8360000.0,,10000000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,8360000.0,8360000.0,,10000000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,1604480822.0,1945371438.0,1839359140.0,1867221684.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,155879741.0,168658607.0,174318683.0,187575319.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,152132675.0,454928715.0,6006769.0,10449002.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,276566090.0,241461090.0,223361090.0,239361090.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,1060397020.0,1162128965.0,1511562472.0,1496400738.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-40494703.0,-81805939.0,-75889874.0,-66564464.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,17054179.0,21466981.0,28547469.0,28357356.0
1. Hàng tồn kho,1. Inventories,17054179.0,21466981.0,28547469.0,28357356.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,29312660.0,22549396.0,13260518.0,31062877.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,27591924.0,21836475.0,13194358.0,31006709.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,,646640.0,,
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,1720736.0,66281.0,66160.0,56168.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,3106861853.0,2913738030.0,2291725676.0,2183820151.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,1255128041.0,1067387086.0,1077697524.0,876404386.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,2600000.0,7800000.0
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
