item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,81072405342.0,13425276158.0,13032869123.0,9123688836.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,4805907413.0,386043131.0,171150281.0,99542367.0
1. Tiền,1. Cash,4790907413.0,381043131.0,154650281.0,61542367.0
2. Các khoản tương đương tiền,2. Cash equivalents,15000000.0,5000000.0,16500000.0,38000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,2244410498.0,2153208768.0,1411837287.0,974089717.0
1. Chứng khoán kinh doanh,1. Available for sale securities,1167690661.0,1669563124.0,1407265321.0,974089717.0
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,1076719837.0,483645644.0,4571966.0,
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,57487926069.0,9322885313.0,9217025454.0,7629310442.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,1332444780.0,279655008.0,248931874.0,820461571.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,11961050370.0,2711334683.0,2666734344.0,2651388063.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,22974061492.0,3821863783.0,3826494939.0,3451362252.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,21236202456.0,2518318956.0,2485642025.0,713412484.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-15833030.0,-8287118.0,-10777727.0,-7313928.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,14687136885.0,865694842.0,1902515330.0,264672523.0
1. Hàng tồn kho,1. Inventories,14688814979.0,868191803.0,1902515330.0,264672523.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-1678094.0,-2496961.0,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,1847024478.0,697444105.0,330340771.0,156073787.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,1123162047.0,615660304.0,277832829.0,141301966.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,569993854.0,62704240.0,48424466.0,9472770.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,153868577.0,19079560.0,4083477.0,5299051.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,38508623026.0,7133060642.0,5212915900.0,3477373794.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,7974820394.0,1059064214.0,1017691280.0,1015890243.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,1100020000.0,19300000.0,,
6. Phải thu dài hạn khác,6. Other long-term receivables,6874800394.0,1039764214.0,1017691280.0,1015890243.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,514508005.0,348167488.0,82193434.0,67937505.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,489467692.0,331652704.0,68349138.0,48714108.0
      - Nguyên giá,    - Cost,729521590.0,427701728.0,104361427.0,59010494.0
