item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,10115.42,6379.15,672.42,521.08
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),27864.67,19958.74,14578.3,15477.25
Chỉ số giá thị trường trên thu nhập (P/E),P/E,9.77,16.77,44.62,57.57
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,3.55,5.36,2.06,1.94
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.37,1.61,0.5,0.49
Tỷ suất cổ tức,Dividend yield,0.02,0.0,0.04,0.05
Beta,Beta,-0.1,0.08,0.06,0.58
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,7.92,13.75,18.05,18.93
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,5.48,8.15,6.51,7.84
Tỷ suất lợi nhuận gộp biên,Gross profit margin,24.68,19.45,9.43,9.17
Tỷ lệ lãi EBIT,EBIT margin,18.88,13.64,4.79,4.46
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,27.27,23.01,13.28,10.77
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,13.88,9.2,1.34,1.65
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,42.1,36.81,4.47,3.31
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),46.28,33.57,10.02,9.24
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,20.67,13.45,1.34,0.95
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,8.66,11.26,-2.77,53.31
Tăng trưởng  lợi nhuận gộp,Gross profit,37.9,129.55,-0.06,-42.43
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,62.36,570.27,-5.49,-78.39
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,58.57,848.69,29.04,-85.05
Tăng trưởng tổng tài sản,Total assets,3.59,2.78,-12.55,-4.95
Tăng trưởng nợ dài hạn,Long-term liabilities,-35.74,-48.84,-10.29,4.61
Tăng trưởng nợ phải trả,Liabilities,-22.23,-12.9,-15.28,-5.77
Tăng trưởng vốn chủ sở hữu,Owner's equity,39.61,36.91,-5.81,-2.75
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.2,0.1,0.07,0.08
Tỷ số thanh toán nhanh,Quick ratio,0.85,0.4,0.31,0.32
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.24,0.11,0.07,0.08
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.65,1.06,0.9,0.92
Khả năng thanh toán lãi vay,Interest coverage,15.46,7.47,1.69,1.83
