item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,1197775160.0,873041190.0,901723777.0,1113267981.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,1197775160.0,873041190.0,901723777.0,1113267981.0
4. Giá vốn hàng bán ,4. Cost of goods sold,910466209.0,680599542.0,638276848.0,852321476.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,287308951.0,192441647.0,263446930.0,260946505.0
6.Doanh thu hoạt động tài chính ,6. Financial income,1588631.0,613680.0,1106624.0,1533488.0
7. Chi phí tài chính ,7. Financial expenses,6025343.0,4216619.0,4702482.0,1147144.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,6021752.0,3999120.0,4366794.0,824227.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,4814103.0,4950873.0,3162427.0,3342500.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,116944412.0,79349672.0,97411253.0,107435398.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,161113724.0,104538163.0,159277392.0,150554951.0
12. Thu nhập khác ,12. Other income,15433744.0,1202795.0,3956938.0,2975815.0
13. Chi phí khác ,13.Other expenses,1797054.0,1618277.0,3357802.0,1899224.0
14. Lợi nhuận khác,14. Other profit ,13636690.0,-415482.0,599135.0,1076591.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,174750414.0,104122681.0,159876527.0,151631542.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,33902718.0,19829990.0,33814178.0,30719690.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-274233.0,1676471.0,821482.0,-527204.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,141121929.0,82616221.0,125240867.0,121439056.0
Lợi ích của cổ đông thiểu số,Minority's interest,99638.0,160158.0,157514.0,280887.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,141022291.0,82456063.0,125083352.0,121158170.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),3526.0,2061.0,6254.0,6058.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,2.0,6.0,6.0
