item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,681042957.0,697157041.0,667647647.0,660567859.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,25612279.0,25612279.0,25612279.0,25612279.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,655430679.0,671544762.0,642035368.0,634955580.0
4. Giá vốn hàng bán ,4. Cost of goods sold,231613180.0,270233562.0,230289646.0,225567473.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,423817498.0,401311200.0,411745722.0,409388107.0
6.Doanh thu hoạt động tài chính ,6. Financial income,123239243.0,83569425.0,118952603.0,112705401.0
7. Chi phí tài chính ,7. Financial expenses,313731264.0,251606993.0,242466221.0,231142882.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,311377704.0,249253433.0,240138088.0,228764374.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,27162935.0,33267978.0,31170220.0,30377948.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,46589049.0,37604881.0,38188373.0,38797368.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,159573493.0,162400773.0,218873510.0,221775310.0
12. Thu nhập khác ,12. Other income,789307.0,6904462.0,74530.0,0.0
13. Chi phí khác ,13.Other expenses,178561.0,88363.0,237619.0,87362.0
14. Lợi nhuận khác,14. Other profit ,610746.0,6816098.0,-163089.0,-87362.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,160184240.0,169216871.0,218710421.0,221687948.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,15873687.0,13153171.0,19552290.0,17239449.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-2775246.0,-1088056.0,-5614952.0,-5614952.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,147085799.0,157151756.0,204773083.0,210063452.0
Lợi ích của cổ đông thiểu số,Minority's interest,47276556.0,51387740.0,55229339.0,54652845.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,99809243.0,105764016.0,149543744.0,155410607.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),464.0,541.0,771.0,795.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
