item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,690210566.0,661019397.0,601561010.0,519924882.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,311588135.0,282415107.0,229752692.0,186221809.0
1. Tiền,1. Cash,66329826.0,62915107.0,58752692.0,44221809.0
2. Các khoản tương đương tiền,2. Cash equivalents,245258309.0,219500000.0,171000000.0,142000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,,,,
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,,,,
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,269282323.0,228167946.0,241573337.0,199589286.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,121869691.0,94299637.0,109948731.0,104392243.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,122299112.0,110878241.0,107810479.0,67757225.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,56556626.0,54745917.0,55569975.0,58114636.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-31443106.0,-31755848.0,-31755848.0,-30674818.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,104848629.0,142978323.0,117902137.0,124476932.0
1. Hàng tồn kho,1. Inventories,106399433.0,144529128.0,119452942.0,126027737.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-1550805.0,-1550805.0,-1550805.0,-1550805.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,4491479.0,7458021.0,12332845.0,9636855.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,390784.0,611835.0,6737636.0,3540579.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,3630533.0,6098413.0,5028161.0,6030624.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,399992.0,715815.0,546053.0,47471.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,70169.0,31958.0,20995.0,18181.0
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,673118771.0,665776782.0,640384033.0,582230045.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,3015278.0,3210374.0,3210374.0,3210374.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,3015278.0,3210374.0,3210374.0,3210374.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,440942763.0,421483340.0,415705989.0,365355653.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,424376448.0,404850202.0,398921260.0,348461717.0
      - Nguyên giá,    - Cost,1115474005.0,1073806295.0,1045773421.0,979770359.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-691097557.0,-668956093.0,-646852160.0,-631308641.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,16566315.0,16633138.0,16784729.0,16893936.0
      - Nguyên giá,    - Cost,20540296.0,23069091.0,23069091.0,23069091.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-3973981.0,-6435954.0,-6284363.0,-6175156.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,200264549.0,212683784.0,191909765.0,184215804.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,200264549.0,212683784.0,191909765.0,184215804.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,,,200000.0,
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,200000.0,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",,,,
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,28896180.0,28399284.0,29357905.0,29448214.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,24466473.0,23593385.0,24779951.0,24985747.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,4429708.0,4805899.0,4577954.0,4462467.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,1363329336.0,1326796179.0,1241945043.0,1102154927.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,535146887.0,502699645.0,444823140.0,347597072.0
I. Nợ ngắn hạn,I. Short -term liabilities,518700387.0,479253145.0,422456640.0,319230572.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,56694901.0,39318293.0,59049277.0,69532065.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,140602700.0,190536380.0,199560200.0,175665646.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,18424161.0,18219874.0,23413876.0,22742854.0
4. Phải trả người lao động,4. Payable to employees,66476852.0,49313977.0,51373372.0,25957175.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,14737104.0,4592482.0,7511528.0,5318187.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,,
8. Doanh thu chưa thực hiện ngắn hạn,8. Short-term unearned revenue,,,,
9. Phải trả ngắn hạn khác,9. Other short-term payables,2715006.0,2878139.0,2544691.0,2101831.0
10. Vay và nợ thuê tài chính ngắn hạn,10. Short-term borrowings and financial leases,213291257.0,168552410.0,72707884.0,11583533.0
