item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,2277601100.0,2250355273.0,2035962622.0,1989195011.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,660983.0,108879.0,989668.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,2277601100.0,2249694290.0,2035853743.0,1988205343.0
4. Giá vốn hàng bán ,4. Cost of goods sold,2034389190.0,1998928693.0,1857597059.0,1787673174.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,243211911.0,250765597.0,178256684.0,200532169.0
6.Doanh thu hoạt động tài chính ,6. Financial income,135501276.0,122049745.0,146413438.0,274538573.0
7. Chi phí tài chính ,7. Financial expenses,119669210.0,122017307.0,135069639.0,232093269.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,123985374.0,119151970.0,136271757.0,209672159.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,47444522.0,60670021.0,22930751.0,62691248.0
9. Chi phí bán hàng ,9. Selling expenses,47611607.0,52160834.0,42521230.0,55217982.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,127225247.0,163902735.0,140632746.0,160032810.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,131651645.0,95404486.0,29377257.0,90417928.0
12. Thu nhập khác ,12. Other income,15148358.0,21646340.0,9834690.0,8651865.0
13. Chi phí khác ,13.Other expenses,19797124.0,32027572.0,23493373.0,46595349.0
14. Lợi nhuận khác,14. Other profit ,-4648766.0,-10381232.0,-13658682.0,-37943483.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,127002878.0,85023255.0,15718574.0,52474445.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,17700087.0,11682772.0,9696248.0,7685573.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),,-11215.0,-773026.0,498028.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,109302791.0,73351698.0,6795352.0,44290844.0
Lợi ích của cổ đông thiểu số,Minority's interest,26486657.0,13680964.0,8084051.0,9814853.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,82816134.0,59670734.0,-1288699.0,34475991.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),,663.0,-14.0,383.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,1.0,0.0,0.0
