item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,5425681472.0,6101321679.0,5079029833.0,2892079411.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,5425681472.0,6101321679.0,5079029833.0,2892079411.0
4. Giá vốn hàng bán ,4. Cost of goods sold,5182297488.0,5995282722.0,4959391429.0,2801850410.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,243383985.0,106038957.0,119638404.0,90229001.0
6.Doanh thu hoạt động tài chính ,6. Financial income,136648357.0,147176515.0,139193538.0,116789688.0
7. Chi phí tài chính ,7. Financial expenses,130082239.0,132398887.0,131047206.0,134243523.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,62579944.0,91166963.0,94099997.0,90718559.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,8010809.0,1307394.0,-22404004.0,-54181971.0
9. Chi phí bán hàng ,9. Selling expenses,,,,
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,27613313.0,55987843.0,119779256.0,40380744.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,230347598.0,66136137.0,-14398524.0,-21787549.0
12. Thu nhập khác ,12. Other income,151129742.0,29462581.0,11706443.0,7462311.0
13. Chi phí khác ,13.Other expenses,6673187.0,12787207.0,9409829.0,14501245.0
14. Lợi nhuận khác,14. Other profit ,144456554.0,16675374.0,2296614.0,-7038934.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,374804152.0,82811510.0,-12101910.0,-28826483.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,54202952.0,1440377.0,1639903.0,18772823.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),1010476.0,2146190.0,5755927.0,6664767.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,319590725.0,79224944.0,-19497740.0,-54264073.0
Lợi ích của cổ đông thiểu số,Minority's interest,-18668707.0,-13469713.0,-23721833.0,-29016761.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,338259432.0,92694656.0,4224093.0,-25247312.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),4243.0,1163.0,53.0,-317.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
