item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,3834.74,3800.77,2893.79,3218.96
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),15797.8,16944.8,13339.53,13911.91
Chỉ số giá thị trường trên thu nhập (P/E),P/E,10.9,8.22,5.44,4.07
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,2.65,1.84,1.18,0.94
Tỷ suất cổ tức,Dividend yield,0.06,0.0,0.0,0.0
Beta,Beta,0.61,0.84,1.34,1.6
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,25.23,25.1,19.16,22.08
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,2.05,2.18,1.57,1.46
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),Yield on earning assets (YOEA),7.16,7.82,9.35,8.41
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),Cost of funding earning assets (COF),4.64,4.74,6.72,4.77
Tỷ lệ thu nhập lãi thuần (NIM),Net interest margin (NIM),2.92,3.53,3.24,3.97
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),Cost Income Ratio (CIR),28.29,29.15,36.86,37.45
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,17.26,72.86,23.72,56.4
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,Profit after tax for shareholders of the parent company,17.5,74.45,23.55,56.97
Tăng trưởng tổng tài sản,Total assets,19.13,32.77,16.82,13.33
Tăng trưởng vốn chủ sở hữu,Owner's equity,8.89,27.03,41.83,43.17
Tăng trưởng vốn điều lệ,Charter capital,16.8,0.0,47.92,43.66
Tăng trưởng dư nợ cho vay,Deposits from customers,18.14,20.4,16.95,12.71
Tăng trưởng huy động vốn khách hàng,Deposits from customers,19.22,19.28,9.96,19.75
Tăng trưởng thu nhập lãi thuần,Net interest income,4.16,37.41,-5.86,31.97
Tăng trưởng dự phòng rủi ro tín dụng,Provisions for loan losses,12.52,24.78,-28.66,55.43
Tăng trưởng thu phí dịch vụ thuần,Net fee and commission income,-0.39,-9.95,114.56,93.72
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,Operating profit before provision for credit losses,11.11,43.15,11.31,78.69
Tăng trưởng tổng chi phí HĐKD,Operating expenses,6.53,0.88,8.54,4.25
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),Outstanding loans/Customer deposits,71.59,72.84,82.09,80.19
Dư nợ cho vay/Tổng tài sản Có,Outstanding loans/Total assets,64.69,65.23,71.94,71.86
Vốn chủ sở hữu/Tổng vốn huy động ,Equity/Deposits from customers,8.62,9.52,10.17,8.19
Vốn chủ sở hữu/Tổng tài sản Có,Equity/Total assets,7.79,8.53,8.91,7.34
Dự phòng rủi ro tín dụng/Tổng dư nợ,Loan loss provision ratio,-0.01,-0.01,-0.01,-0.02
Tài sản Có sinh lãi/Tổng tài sản Có,Earning assets/Total assets,98.47,98.47,97.28,97.6
