item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,2202622399.0,2155575225.0,2137504728.0,1900062368.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,245088325.0,282033785.0,465479928.0,261783989.0
1. Tiền,1. Cash,68588325.0,52033785.0,173579928.0,48546989.0
2. Các khoản tương đương tiền,2. Cash equivalents,176500000.0,230000000.0,291900000.0,213237000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,72642650.0,72642650.0,,
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,72642650.0,72642650.0,,
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,672546387.0,665703404.0,555877569.0,555253061.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,653890258.0,637635455.0,539294451.0,539862060.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,16030681.0,21122725.0,13992857.0,7879202.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,34085678.0,38408937.0,34090473.0,39145885.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-31460230.0,-31463713.0,-31500213.0,-31634086.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,844490968.0,754978170.0,728204531.0,710183000.0
1. Hàng tồn kho,1. Inventories,884678970.0,801437829.0,780502816.0,750238760.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-40188002.0,-46459659.0,-52298285.0,-40055760.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,367854070.0,380217216.0,387942700.0,372842318.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,127452716.0,130565371.0,128021048.0,128677858.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,238766206.0,244837860.0,254591039.0,237675839.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,1635148.0,4813984.0,5330613.0,6488620.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,9165035953.0,9192210534.0,9254280947.0,9318368241.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,1997141521.0,1963480871.0,1930051629.0,1894642969.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,1835000000.0,1835000000.0,1835000000.0,1835000000.0
6. Phải thu dài hạn khác,6. Other long-term receivables,162141521.0,128480871.0,95051629.0,59642969.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,4415141581.0,4484445500.0,4565341898.0,4656724121.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,4024090598.0,4080873314.0,4149234365.0,4228080296.0
      - Nguyên giá,    - Cost,5737352279.0,5713062140.0,5697184358.0,5691142018.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-1713261681.0,-1632188827.0,-1547949993.0,-1463061722.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,204138493.0,208789411.0,213440329.0,218091247.0
      - Nguyên giá,    - Cost,277922817.0,277922817.0,277922817.0,277922817.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-73784324.0,-69133406.0,-64482488.0,-59831570.0
3. Tài sản cố định vô hình,3. Intangible fixed assets,186912490.0,194782775.0,202667204.0,210552578.0
      - Nguyên giá,    - Cost,344789377.0,344789377.0,344789377.0,344789377.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-157876888.0,-150006602.0,-142122173.0,-134236799.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,23354881.0,16115106.0,19702746.0,22400543.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,23354881.0,16115106.0,19702746.0,22400543.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,2103964884.0,2103964884.0,2114054897.0,2114054897.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",2103964884.0,2103964884.0,2114054897.0,2114054897.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,625433086.0,624204173.0,625129776.0,630545711.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,529771210.0,527735385.0,525040172.0,526878929.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,24452484.0,21638579.0,21638579.0,21594940.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,71209392.0,74830209.0,78451026.0,82071842.0
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,11367658353.0,11347785759.0,11391785674.0,11218430609.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,6166967344.0,6300283945.0,6558341805.0,6633639608.0
I. Nợ ngắn hạn,I. Short -term liabilities,5242484261.0,5286549053.0,3463807518.0,3379847250.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,771573380.0,683123505.0,601210224.0,586016821.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,7809986.0,5354522.0,6332765.0,4626725.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,25423016.0,41375974.0,37414621.0,17666223.0
4. Phải trả người lao động,4. Payable to employees,,,,35165.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,841873067.0,789080846.0,783745621.0,666198838.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,,
8. Doanh thu chưa thực hiện ngắn hạn,8. Short-term unearned revenue,,,,
9. Phải trả ngắn hạn khác,9. Other short-term payables,52884038.0,51883845.0,161405124.0,246387181.0
10. Vay và nợ thuê tài chính ngắn hạn,10. Short-term borrowings and financial leases,3541954983.0,3714764571.0,1872733372.0,1857950508.0
11. Dự phòng phải trả ngắn hạn,11. Provision for short-term liabilities,,,,
"12. Quỹ khen thưởng, phúc lợi",12.. Bonus and welfare fund,965790.0,965790.0,965790.0,965790.0
13. Quỹ bình ổn giá,13. Price stabilization fund,,,,
