item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,2652158716.0,3789314742.0,3629253259.0,2856378031.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,4901174.0,6786216.0,8400451.0,9196513.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,2647257542.0,3782528526.0,3620852808.0,2847181518.0
4. Giá vốn hàng bán ,4. Cost of goods sold,2320408332.0,3182041760.0,3188870645.0,2594905946.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,326849211.0,600486766.0,431982163.0,252275572.0
6.Doanh thu hoạt động tài chính ,6. Financial income,8962708.0,26843682.0,36766439.0,31146134.0
7. Chi phí tài chính ,7. Financial expenses,101593660.0,44505294.0,76714560.0,56424143.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,24343386.0,38577063.0,33925764.0,29957827.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,5570039.0,
9. Chi phí bán hàng ,9. Selling expenses,92201958.0,239911112.0,153762764.0,111165147.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,34531677.0,69773761.0,68596237.0,64922046.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,107484623.0,273140281.0,175245080.0,50910370.0
12. Thu nhập khác ,12. Other income,5506116.0,2853261.0,2621340.0,-25303.0
13. Chi phí khác ,13.Other expenses,2424249.0,25572006.0,11308206.0,9540116.0
14. Lợi nhuận khác,14. Other profit ,3081867.0,-22718744.0,-8686866.0,-9565419.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,110566490.0,250421536.0,166558214.0,41344951.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,17465903.0,14043874.0,-2311695.0,11071524.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),,8204232.0,3936644.0,12589527.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,93100587.0,228173430.0,164933265.0,17683900.0
Lợi ích của cổ đông thiểu số,Minority's interest,,5026088.0,4068487.0,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,93100587.0,223147342.0,160864777.0,17683900.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),,556.0,539.0,44.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
