item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,1233.98,535.66,-255.21,-574.57
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),13177.0,13336.0,12841.0,12283.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,13.61,33.04,-55.64,-23.5
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.27,1.33,1.11,1.1
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,2.55,1.88,1.57,1.9
Tỷ suất cổ tức,Dividend yield,0.01,0.04,0.05,0.06
Beta,Beta,1.45,1.64,1.31,0.71
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,66.31,37.74,44.56,115.0
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,24.8,24.91,59.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,12.35,15.88,11.93,8.86
Tỷ lệ lãi EBIT,EBIT margin,5.1,7.64,5.54,2.5
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,83.8,8.98,7.27,4.88
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,3.52,6.03,4.56,0.62
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,1.75,4.25,3.19,0.36
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),2.44,5.15,3.74,1.36
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,0.97,2.26,1.79,0.2
ROE bình quân 4 quý gần nhất,ROE Trailling,9.82,4.35,-2.07,-4.57
ROA bình quân 4 quý gần nhất,ROA Trailling,5.31,2.27,-1.07,-2.3
Tăng trưởng  doanh thu thuần,Net revenue,-32.1,-12.93,-3.13,3.51
Tăng trưởng  lợi nhuận gộp,Gross profit,223.38,56.2,9.96,2.35
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,0.0,0.0,205.27,266.68
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,0.0,0.0,386.76,145.56
Tăng trưởng tổng tài sản,Total assets,-5.97,-2.83,-16.18,-15.48
Tăng trưởng nợ dài hạn,Long-term liabilities,0.0,9.58,-19.61,-29.77
Tăng trưởng nợ phải trả,Liabilities,-21.1,-5.48,-25.6,-21.94
Tăng trưởng vốn chủ sở hữu,Owner's equity,8.38,-0.21,-6.42,-9.94
Tăng trưởng vốn điều lệ,Charter capital,0.04,0.3,0.26,0.26
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.04,0.06,0.06,0.08
Tỷ số thanh toán nhanh,Quick ratio,0.84,0.5,0.46,0.52
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.04,0.06,0.06,0.08
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.23,1.5,1.53,1.56
Khả năng thanh toán lãi vay,Interest coverage,5.54,7.49,5.91,2.38
