item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,3279088295.0,3249615904.0,2552594388.0,2341793866.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,739632647.0,886350411.0,455323805.0,424037511.0
1. Tiền,1. Cash,200943477.0,210360392.0,134298490.0,404037511.0
2. Các khoản tương đương tiền,2. Cash equivalents,538689170.0,675990019.0,321025315.0,20000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,880144449.0,653102619.0,970784740.0,955600000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,880144449.0,653102619.0,970784740.0,955600000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,1025910003.0,991662262.0,598359982.0,340632311.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,943209085.0,975783600.0,589040234.0,346113350.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,74337925.0,44784079.0,40711173.0,27332806.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,21249991.0,12977872.0,7984289.0,6352000.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-12886999.0,-41883289.0,-39375714.0,-39165845.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,550210267.0,645400141.0,506531306.0,603115361.0
1. Hàng tồn kho,1. Inventories,555442810.0,653751351.0,517854708.0,612983453.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-5232543.0,-8351211.0,-11323402.0,-9868092.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,83190929.0,73100471.0,21594555.0,18408684.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,9039307.0,5739463.0,6908866.0,7826876.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,65348120.0,61619852.0,7695538.0,9461359.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,8803501.0,5741155.0,6990151.0,1120448.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,1402754896.0,1273573027.0,900494759.0,952402141.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,39253498.0,40000364.0,21374769.0,21374769.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,39253498.0,40000364.0,21374769.0,21374769.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,1275551189.0,699598255.0,773819378.0,841750642.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,1268376806.0,691129238.0,763076509.0,831280800.0
      - Nguyên giá,    - Cost,2837523188.0,2144157873.0,2094895150.0,2033112902.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-1569146382.0,-1453028635.0,-1331818641.0,-1201832102.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,7174383.0,8469017.0,10742869.0,10469842.0
      - Nguyên giá,    - Cost,53014098.0,50159098.0,46683215.0,41662420.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-45839715.0,-41690080.0,-35940346.0,-31192578.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,12734958.0,473271198.0,59468214.0,21704891.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,12734958.0,473271198.0,59468214.0,21704891.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,18185438.0,34460415.0,,
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",18185438.0,34460415.0,,
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,57029813.0,26242796.0,45832399.0,67571840.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,57029813.0,26242796.0,45832399.0,67571840.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,,,,
