item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,2756.2,1393.08,293.39,2628.19
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),29647.41,28332.7,26723.57,25733.02
Chỉ số giá thị trường trên thu nhập (P/E),P/E,27.94,50.25,228.37,35.39
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,2.6,2.47,2.51,3.61
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.43,1.21,1.23,1.74
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.01
Beta,Beta,1.07,1.32,1.28,1.06
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,13.5,12.72,17.56,20.01
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,10.73,9.55,12.36,13.89
Tỷ suất lợi nhuận gộp biên,Gross profit margin,31.34,29.64,28.27,27.61
Tỷ lệ lãi EBIT,EBIT margin,16.3,14.94,12.15,13.12
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,20.5,19.91,17.27,18.9
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,8.29,5.14,2.39,6.24
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,9.57,5.06,1.12,9.03
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),14.99,13.38,10.99,11.93
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,2.97,1.36,0.29,2.67
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,-1.87,6.3,2.71,-14.04
Tăng trưởng  lợi nhuận gộp,Gross profit,3.75,11.46,5.16,-4.97
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,30.93,135.07,-50.21,-55.2
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,105.51,377.45,-88.26,-58.34
Tăng trưởng tổng tài sản,Total assets,-12.62,0.14,4.27,12.09
Tăng trưởng nợ dài hạn,Long-term liabilities,-9.34,-18.06,49.1,-19.96
Tăng trưởng nợ phải trả,Liabilities,-21.48,-2.12,4.24,25.01
Tăng trưởng vốn chủ sở hữu,Owner's equity,10.62,6.58,4.37,-13.46
Tăng trưởng vốn điều lệ,Charter capital,0.5,5.74,0.5,20.6
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.3,0.32,0.2,0.21
Tỷ số thanh toán nhanh,Quick ratio,0.62,0.73,0.61,0.51
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.43,0.33,0.34,0.27
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,0.9,0.91,0.87,0.73
Khả năng thanh toán lãi vay,Interest coverage,2.46,1.94,1.37,2.06
