item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,7244781522.0,6992043391.0,10603675497.0,12228222738.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,570211947.0,1468795621.0,974184354.0,1502879248.0
1. Tiền,1. Cash,145211947.0,1468795621.0,974184354.0,802638824.0
2. Các khoản tương đương tiền,2. Cash equivalents,425000000.0,,,700240424.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,364962353.0,,8110000.0,8110000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,364962353.0,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,,,8110000.0,8110000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,2693152824.0,1873471973.0,2757111564.0,2940659090.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,777487739.0,789719771.0,1668813631.0,2170552039.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,86729827.0,99262520.0,206875846.0,371552598.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,691500000.0,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,1137435258.0,993154083.0,890086488.0,413428141.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),,-8664401.0,-8664401.0,-14873688.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,2875400142.0,2967555729.0,5997555598.0,6858167780.0
1. Hàng tồn kho,1. Inventories,2928945068.0,3071547193.0,6191668845.0,6905038000.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-53544926.0,-103991464.0,-194113247.0,-46870220.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,741054256.0,682220068.0,866713981.0,918406620.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,56007417.0,36157125.0,61872986.0,74887091.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,685046839.0,646062943.0,780061010.0,807301517.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,,,24779985.0,36218012.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,19215553782.0,19974483609.0,29768680616.0,29292777451.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,1140766007.0,1199340157.0,1447156838.0,1403254299.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,1140766007.0,1199340157.0,1447156838.0,1403254299.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,14055142337.0,14299837733.0,20129893349.0,20185726072.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,13656269492.0,13862410999.0,16776735480.0,16864317888.0
      - Nguyên giá,    - Cost,24718194899.0,24295428149.0,30595841261.0,29389675393.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-11061925407.0,-10433017150.0,-13819105781.0,-12525357505.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,67300000.0,67300000.0,67300000.0,67300000.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-67300000.0,-67300000.0,-67300000.0,-67300000.0
