item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,294.68,434.88,-234.55,-101.24
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),12692.08,11143.77,10477.27,11021.27
Chỉ số giá thị trường trên thu nhập (P/E),P/E,44.45,22.08,-14.92,-46.42
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.03,0.86,0.33,0.43
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.02,0.72,0.29,0.38
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.05,0.0
Beta,Beta,0.58,0.86,1.04,1.48
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,15.06,13.51,-55.55,-129.75
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,8.87,8.63,16.98,15.65
Tỷ suất lợi nhuận gộp biên,Gross profit margin,15.75,14.33,4.07,5.33
Tỷ lệ lãi EBIT,EBIT margin,7.34,7.65,-1.17,-0.53
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,12.46,11.98,3.82,4.43
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,4.73,6.06,-3.34,-2.28
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,5.11,7.44,-3.71,-2.48
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),6.93,7.35,-1.04,-0.48
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,1.66,2.31,-1.26,-0.55
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,-2.86,11.06,-2.36,-14.5
Tăng trưởng  lợi nhuận gộp,Gross profit,6.76,290.99,-25.51,-50.58
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-25.02,206.96,-266.45,-231.02
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-32.24,85.41,-331.68,-320.75
Tăng trưởng tổng tài sản,Total assets,-14.43,2.92,-0.15,1.77
Tăng trưởng nợ dài hạn,Long-term liabilities,-86.82,-1.44,31.35,-3.06
Tăng trưởng nợ phải trả,Liabilities,-54.78,-1.5,6.91,11.58
Tăng trưởng vốn chủ sở hữu,Owner's equity,13.89,6.36,-4.94,-3.94
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.08,0.18,0.12,0.08
Tỷ số thanh toán nhanh,Quick ratio,1.47,0.81,0.66,0.64
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",1.09,0.49,0.37,0.38
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,2.25,1.29,1.12,1.09
Khả năng thanh toán lãi vay,Interest coverage,3.4,8.14,-0.93,-0.6
