item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,2773.03,2855.41,2910.29,3039.83
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),13656.79,12978.66,15474.71,14727.06
Chỉ số giá thị trường trên thu nhập (P/E),P/E,5.16,5.15,5.76,5.48
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.05,1.13,1.08,1.13
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,0.19,0.2,0.54,0.77
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,4.99,4.74,4.99,4.94
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,0.29,0.3,0.36,0.38
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),Yield on earning assets (YOEA),1.6,1.59,1.72,1.87
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),Cost of funding earning assets (COF),1.15,1.19,1.2,1.17
Tỷ lệ thu nhập lãi thuần (NIM),Net interest margin (NIM),0.57,0.56,0.69,0.83
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),Cost Income Ratio (CIR),31.72,36.53,29.58,35.77
ROE bình quân 4 quý gần nhất,ROE Trailling,19.2,19.32,19.59,20.39
ROA bình quân 4 quý gần nhất,ROA Trailling,1.22,1.34,1.45,1.55
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,17.98,16.7,6.47,22.48
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,Profit after tax for shareholders of the parent company,17.93,18.49,6.48,22.29
Tăng trưởng tổng tài sản,Total assets,70.66,57.89,37.52,21.32
Tăng trưởng vốn chủ sở hữu,Owner's equity,21.48,24.99,25.36,26.59
Tăng trưởng vốn điều lệ,Charter capital,25.0,29.73,29.73,29.73
Tăng trưởng dư nợ cho vay,Deposits from customers,17.81,20.94,22.93,21.18
Tăng trưởng huy động vốn khách hàng,Deposits from customers,12.3,27.5,28.56,16.69
Tăng trưởng thu nhập lãi thuần,Net interest income,15.71,2.72,-3.93,23.01
Tăng trưởng dự phòng rủi ro tín dụng,Provisions for loan losses,-8.77,16.67,-7.3,11.62
Tăng trưởng thu phí dịch vụ thuần,Net fee and commission income,-2.47,44.89,62.31,-39.07
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,Operating profit before provision for credit losses,128.82,24.72,30.9,32.12
Tăng trưởng tổng chi phí HĐKD,Operating expenses,-6.48,2.2,-6.42,-5.41
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),Outstanding loans/Customer deposits,51.15,57.77,67.32,75.29
Dư nợ cho vay/Tổng tài sản Có,Outstanding loans/Total assets,47.24,52.53,61.14,67.81
Vốn chủ sở hữu/Tổng vốn huy động ,Equity/Deposits from customers,0.06,0.06,0.07,0.09
Vốn chủ sở hữu/Tổng tài sản Có,Equity/Total assets,5.6,5.91,6.75,7.71
Dự phòng rủi ro tín dụng/Tổng dư nợ,Loan loss provision ratio,-0.01,-0.01,-0.01,-0.01
Tài sản Có sinh lãi/Tổng tài sản Có,Earning assets/Total assets,97.2,96.45,97.34,97.52
