item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,1139836960.0,991065823.0,1016641721.0,1166762878.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,54731798.0,54365246.0,62434608.0,54000538.0
1. Tiền,1. Cash,12414676.0,22210528.0,21723324.0,14753484.0
2. Các khoản tương đương tiền,2. Cash equivalents,42317123.0,32154718.0,40711283.0,39247054.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,121957444.0,95801452.0,119909823.0,12471419.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,121957444.0,95801452.0,119909823.0,12471419.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,637582716.0,571734031.0,497578546.0,907844833.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,404957317.0,334749143.0,348369047.0,400143859.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,141898641.0,79534578.0,95791798.0,116215944.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,70519042.0,73103205.0,42664399.0,39509159.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,80888935.0,153457027.0,108752256.0,383639752.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-60746730.0,-69267375.0,-98156407.0,-31711865.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,65511.0,157453.0,157453.0,47985.0
IV. Hàng tồn kho,IV. Inventories,219283551.0,211153464.0,267246962.0,157789222.0
1. Hàng tồn kho,1. Inventories,221321052.0,212915334.0,273524958.0,161070611.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-2037501.0,-1761869.0,-6277996.0,-3281388.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,106281451.0,58011630.0,69471782.0,34656866.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,8927752.0,8447165.0,12969714.0,6906173.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,97103007.0,49520080.0,51066165.0,27434976.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,250692.0,44384.0,5435903.0,315717.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,1174090543.0,1037919836.0,1026593771.0,576984989.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,137301146.0,134488850.0,105551190.0,98478781.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,700000.0
6. Phải thu dài hạn khác,6. Other long-term receivables,137301146.0,134488850.0,105551190.0,97778781.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,679181608.0,654838549.0,664050322.0,418139092.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,587881012.0,504989244.0,524579976.0,335105407.0
      - Nguyên giá,    - Cost,971090616.0,819817603.0,776106371.0,445709906.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-383209604.0,-314828359.0,-251526395.0,-110604498.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,85134537.0,60807646.0,45989601.0,7402400.0
      - Nguyên giá,    - Cost,105024891.0,71000523.0,49366149.0,7402400.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-19890354.0,-10192877.0,-3376548.0,
3. Tài sản cố định vô hình,3. Intangible fixed assets,6166059.0,89041659.0,93480745.0,75631284.0
      - Nguyên giá,    - Cost,16295474.0,106714832.0,106264832.0,83921353.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-10129415.0,-17673173.0,-12784086.0,-8290069.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,43897514.0,5922499.0,12378181.0,2954231.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
