item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,2133910522.0,1458300976.0,1754554175.0,1817811173.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,70353300.0,21277440.0,21228330.0,51303898.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,2063557222.0,1437023536.0,1733325846.0,1766507276.0
4. Giá vốn hàng bán ,4. Cost of goods sold,1594296000.0,1031437260.0,1263581451.0,1390654928.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,469261222.0,405586276.0,469744394.0,375852348.0
6.Doanh thu hoạt động tài chính ,6. Financial income,38167056.0,36018300.0,34749137.0,28727257.0
7. Chi phí tài chính ,7. Financial expenses,88217299.0,68192413.0,75614467.0,49004941.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,71698337.0,51959148.0,45689567.0,27401837.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,-774749.0
9. Chi phí bán hàng ,9. Selling expenses,116202202.0,122841302.0,135218323.0,190392617.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,128587419.0,121618355.0,170159033.0,65985288.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,174421358.0,128952507.0,123501708.0,98422009.0
12. Thu nhập khác ,12. Other income,3829778.0,34770648.0,24196060.0,6935048.0
13. Chi phí khác ,13.Other expenses,4572663.0,23651792.0,15304110.0,12430070.0
14. Lợi nhuận khác,14. Other profit ,-742884.0,11118856.0,8891950.0,-5495022.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,173678473.0,140071362.0,132393659.0,92926987.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,24734149.0,20407176.0,24958287.0,10602788.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),2872506.0,3280645.0,-2493909.0,2482099.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,146071819.0,116383542.0,109929281.0,79842100.0
Lợi ích của cổ đông thiểu số,Minority's interest,274994.0,200580.0,198739.0,128954.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,145796824.0,116182962.0,109730542.0,79713145.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),2575.0,2089.0,2170.0,1576.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
