item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,2135.52,2251.34,1921.91,1806.91
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),12821.0,15910.0,15174.0,17915.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,16.26,13.97,10.88,9.14
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,2.96,2.07,1.6,1.13
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,5.72,3.3,2.43,3.23
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,0.17,0.37,0.6,0.64
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,62.06,46.11,32.39,67.13
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,27.75,21.8,16.91,41.47
Tỷ suất lợi nhuận gộp biên,Gross profit margin,22.94,23.34,25.12,16.86
Tỷ lệ lãi EBIT,EBIT margin,14.07,11.48,12.49,8.97
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,16.48,14.89,15.44,14.52
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,7.56,6.98,8.63,3.69
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,3.43,4.31,5.78,1.3
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),4.31,5.71,7.12,2.66
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,1.25,1.69,2.42,0.6
ROE bình quân 4 quý gần nhất,ROE Trailling,15.32,14.09,12.63,11.92
ROA bình quân 4 quý gần nhất,ROA Trailling,5.99,5.96,5.56,5.47
Tăng trưởng  doanh thu thuần,Net revenue,23.74,75.27,54.21,12.61
Tăng trưởng  lợi nhuận gộp,Gross profit,17.21,51.24,25.52,-36.06
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,9.06,48.5,17.01,1.89
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,17.77,55.81,14.71,-5.13
Tăng trưởng tổng tài sản,Total assets,13.31,20.1,18.48,3.94
Tăng trưởng nợ dài hạn,Long-term liabilities,184.77,286.81,128.41,118.94
Tăng trưởng nợ phải trả,Liabilities,44.68,33.61,33.27,7.77
Tăng trưởng vốn chủ sở hữu,Owner's equity,-20.36,3.36,1.51,-0.51
Tăng trưởng vốn điều lệ,Charter capital,4.54,-3.98,3.78,3.78
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.06,0.05,0.05,0.05
Tỷ số thanh toán nhanh,Quick ratio,0.93,0.99,0.84,0.95
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.18,0.17,0.15,0.16
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.15,1.2,1.1,1.15
Khả năng thanh toán lãi vay,Interest coverage,2.65,3.53,5.32,2.28
