item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,5914766.0,6744545.0,12523671.0,13629077.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,5914766.0,6744545.0,12523671.0,13629077.0
4. Giá vốn hàng bán ,4. Cost of goods sold,9533154.0,5030969.0,9254386.0,8282677.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,-3618388.0,1713576.0,3269285.0,5346400.0
6.Doanh thu hoạt động tài chính ,6. Financial income,79627813.0,92755781.0,114984421.0,71387940.0
7. Chi phí tài chính ,7. Financial expenses,40351841.0,65699591.0,70650120.0,62402918.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,33174985.0,64744609.0,68885761.0,61745609.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,2918.0,4810.0,6203.0,606860.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,2480764.0,2557828.0,5198409.0,3248777.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,33173902.0,26207129.0,42398974.0,10475785.0
12. Thu nhập khác ,12. Other income,211777.0,1820474.0,725193.0,197806.0
13. Chi phí khác ,13.Other expenses,12108918.0,30550150.0,35184355.0,9616046.0
14. Lợi nhuận khác,14. Other profit ,-11897141.0,-28729676.0,-34459162.0,-9418240.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,21276761.0,-2522548.0,7939812.0,1057546.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,12915493.0,989060.0,3124682.0,711826.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-1452429.0,-4211227.0,4641525.0,292800.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,9813697.0,699620.0,173605.0,52919.0
Lợi ích của cổ đông thiểu số,Minority's interest,388957.0,-733007.0,-57233.0,-71966.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,9424740.0,1432627.0,230838.0,124885.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),90.0,14.0,2.0,1.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
