item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,205003761.0,123674270.0,108522963.0,156194604.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,106540050.0,47926991.0,32740706.0,93925854.0
1. Tiền,1. Cash,2040050.0,47926991.0,28740706.0,8599163.0
2. Các khoản tương đương tiền,2. Cash equivalents,104500000.0,,4000000.0,85326690.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,,,,
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,,,,
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,74455770.0,51854903.0,51362530.0,35969880.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,60902372.0,38442946.0,42437459.0,20080544.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,2114109.0,3893155.0,776152.0,4918266.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,12669670.0,10749182.0,8794935.0,11617086.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-1230380.0,-1230380.0,-646016.0,-646016.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,23510315.0,23198742.0,24264858.0,24739530.0
1. Hàng tồn kho,1. Inventories,27810369.0,27498796.0,28805930.0,29280602.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-4300054.0,-4300054.0,-4541072.0,-4541072.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,497626.0,693634.0,154870.0,1559341.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,398748.0,693634.0,154870.0,878779.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,98878.0,,,
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,,,,680561.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,1281472633.0,1358598398.0,1446981796.0,1533585206.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,,,,
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,,,,
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,1234108220.0,1326605147.0,1406282040.0,1497782177.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,1234108220.0,1326605147.0,1406282040.0,1497782177.0
      - Nguyên giá,    - Cost,2142307419.0,2144430416.0,2134557964.0,2134557964.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-908199199.0,-817825270.0,-728275925.0,-636775787.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,,,7235129.0,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,,,7235129.0,
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,,,,
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",,,,
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,47364413.0,31993252.0,33464628.0,35803029.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,47364413.0,31993252.0,33464628.0,35803029.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,1486476394.0,1482272668.0,1555504760.0,1689779810.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,558109449.0,643146766.0,778136831.0,916238938.0
I. Nợ ngắn hạn,I. Short -term liabilities,199893477.0,231994793.0,196984859.0,180086966.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,3177813.0,3739667.0,4005725.0,3324035.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,,,,
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,7349541.0,4709346.0,2760479.0,3412374.0
4. Phải trả người lao động,4. Payable to employees,4108745.0,4036645.0,2821939.0,5875674.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,615358.0,858581.0,811168.0,867852.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,,
8. Doanh thu chưa thực hiện ngắn hạn,8. Short-term unearned revenue,,,,
9. Phải trả ngắn hạn khác,9. Other short-term payables,8610457.0,7260497.0,7317937.0,56471265.0
10. Vay và nợ thuê tài chính ngắn hạn,10. Short-term borrowings and financial leases,176031562.0,211390057.0,179267612.0,110000000.0
11. Dự phòng phải trả ngắn hạn,11. Provision for short-term liabilities,,,,
"12. Quỹ khen thưởng, phúc lợi",12.. Bonus and welfare fund,,,,135766.0
13. Quỹ bình ổn giá,13. Price stabilization fund,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,14. Government bonds,,,,
II. Nợ dài hạn ,II. Long-term liabilities,358215972.0,411151972.0,581151972.0,736151972.0
1. Phải trả người bán dài hạn,1. Long-term trade payables,,,,
2. Người mua trả tiền trước dài hạn,2. Long-term advances from customers,,,,
3. Chi phí phải trả dài hạn,3. Long-term acrrued expenses,,,,
4. Phải trả nội bộ về vốn kinh doanh,4. Inter-company payables on business capital,,,,
5. Phải trả nội bộ dài hạn,5. Long-term inter-company payables,,,,
6. Doanh thu chưa thực hiện dài hạn,6. Long-term unearned revenue,,,,
7. Phải trả dài hạn khác,7. Other long-term liabilities,,,,
8. Vay và nợ thuê tài chính dài hạn,8. Long-term borrowings and financial leases,358215972.0,411151972.0,581151972.0,736151972.0
9. Trái phiếu chuyển đổi,9. Convertible bonds,,,,
10. Cổ phiếu ưu đãi (Nợ),10. Preferred stock (Debts),,,,
11. Thuế thu nhập hoãn lại phải trả,11. Deferred income tax liabilities,,,,
12. Dự phòng phải trả dài hạn,12. Provision for long-term liabilities,,,,
13. Quỹ phát triển khoa học và công nghệ,13. Fund for technology development,,,,
14. Dự phòng trợ cấp mất việc làm,14. Provision for severance allowances,,,,
B. VỐN CHỦ SỞ HỮU,B. OWNER'S EQUITY ,928366945.0,839125902.0,777367929.0,773540872.0
I. Vốn chủ sở hữu,I. Owner's equity,928366945.0,839125902.0,777367929.0,773540872.0
1. Vốn góp của chủ sở hữu,1. Owner's capital ,499939608.0,499939608.0,499939608.0,499939608.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Common stock with voting right,499939608.0,499939608.0,499939608.0,499939608.0
- Cổ phiếu ưu đãi,- Preferred stock,,,,
2. Thặng dư vốn cổ phần,2. Share premium,14388400.0,14388400.0,14388400.0,14388400.0
3. Quyền chọn chuyển đổi trái phiếu,3. Convertible bond option,,,,
4. Vốn khác của chủ sở hữu,4. Other capital of owners,,,,
5. Cổ phiếu quỹ (*),5. Treasury shares,,,,
6. Chênh lệch đánh giá lại tài sản,6. Assets revaluation differences,,,,
7. Chênh lệch tỷ giá hối đoái,7. Foreign exchange differences,,,,
8. Quỹ đầu tư phát triển,8. Investment and development fund,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,9. Fund to support corporate restructuring,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,10. Other funds from owner's equity,,,,
11. Lợi nhuận sau thuế chưa phân phối,11. Undistributed earnings after tax,414038937.0,324797895.0,263039921.0,259212864.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- Accumulated retained earning at the end of the previous period,199812995.0,162992001.0,159224944.0,87676643.0
- LNST chưa phân phối kỳ này,- Undistributed earnings in this period,214225942.0,161805894.0,103814977.0,171536222.0
12. Nguồn vốn đầu tư XDCB,12. Reserves for investment in construction,,,,
13. Lợi ích cổ đông không kiểm soát,13. Minority's interest,,,,
14. Quỹ dự phòng tài chính,14. Financial reserves,,,,
II. Nguồn kinh phí và quỹ khác,II. Other resources and funds ,,,,
1. Nguồn kinh phí,1. Subsidized not-for-profit funds,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,2. Funds invested in fixed assets,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,C. MINORITY'S INTEREST,,,,
TỔNG CỘNG NGUỒN VỐN,TOTAL OWNER'S EQUITY AND LIABILITIES ,1486476394.0,1482272668.0,1555504760.0,1689779810.0
