item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,476572649.0,408350185.0,353191904.0,392858722.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,2033499.0,2238812.0,914018.0,6577999.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,474539151.0,406111373.0,352277886.0,386280722.0
4. Giá vốn hàng bán ,4. Cost of goods sold,378592201.0,312563900.0,274730032.0,287248563.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,95946950.0,93547473.0,77547853.0,99032159.0
6.Doanh thu hoạt động tài chính ,6. Financial income,7005748.0,7176436.0,5943196.0,4936419.0
7. Chi phí tài chính ,7. Financial expenses,2735626.0,2734491.0,2811035.0,2301060.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,2616414.0,2311133.0,2002925.0,1661052.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,35818829.0,47644874.0,34557528.0,31030280.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,8168183.0,6490256.0,8475471.0,6258560.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,56230060.0,43854287.0,37647015.0,64378677.0
12. Thu nhập khác ,12. Other income,22424.0,6.0,2498.0,45693.0
13. Chi phí khác ,13.Other expenses,0.0,2080110.0,5109.0,769.0
14. Lợi nhuận khác,14. Other profit ,22424.0,-2080104.0,-2611.0,44924.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,56252484.0,41774183.0,37644404.0,64423601.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,2497934.0,13355966.0,8797207.0,7600469.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),8752563.0,-3609299.0,-1267306.0,5284403.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,45001987.0,32027516.0,30114504.0,51538729.0
Lợi ích của cổ đông thiểu số,Minority's interest,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,45001987.0,32027516.0,30114504.0,51538729.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),2009.0,1430.0,1344.0,2301.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
