item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,219727721.0,205019170.0,368823323.0,452622300.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,,8243976.0,94600.0,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,219727721.0,196775195.0,368728723.0,452622300.0
4. Giá vốn hàng bán ,4. Cost of goods sold,152912586.0,144376165.0,280489269.0,332865271.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,66815135.0,52399030.0,88239454.0,119757029.0
6.Doanh thu hoạt động tài chính ,6. Financial income,1792017.0,2232037.0,2264427.0,1403173.0
7. Chi phí tài chính ,7. Financial expenses,1622758.0,977786.0,1182224.0,514396.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,,,,
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,-261312.0,11193734.0,36843766.0,54167669.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,8044472.0,10661212.0,17357945.0,16312635.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,59201234.0,31798335.0,35119946.0,50165502.0
12. Thu nhập khác ,12. Other income,1.0,1.0,1324236.0,1157544.0
13. Chi phí khác ,13.Other expenses,0.0,,0.0,
14. Lợi nhuận khác,14. Other profit ,0.0,1.0,1324236.0,1157544.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,59201234.0,31798335.0,36444182.0,51323046.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,9805258.0,5206529.0,8137140.0,12540687.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,49395977.0,26591806.0,28307042.0,38782359.0
Lợi ích của cổ đông thiểu số,Minority's interest,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,49395977.0,26591806.0,28307042.0,38782359.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),3140.0,1690.0,1799.0,2465.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
