item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,460.2,1715.16,445.95,-509.39
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),17059.83,18584.4,20598.3,20205.46
Chỉ số giá thị trường trên thu nhập (P/E),P/E,32.27,8.42,55.28,-24.05
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.87,0.78,1.2,0.61
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.45,0.22,0.35,0.14
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.08
Beta,Beta,1.29,1.81,2.33,1.93
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,27.56,15.18,22.28,47.15
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,15.43,0.0,12.38,13.75
Tỷ suất lợi nhuận gộp biên,Gross profit margin,5.3,8.89,5.98,6.42
Tỷ lệ lãi EBIT,EBIT margin,3.11,3.72,2.53,0.67
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,5.56,5.51,4.55,2.31
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,1.33,2.2,0.63,-0.54
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,2.92,8.02,2.19,-2.26
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),5.82,13.5,8.7,2.79
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,1.31,3.52,0.91,-0.86
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,-28.15,10.83,-19.4,-18.11
Tăng trưởng  lợi nhuận gộp,Gross profit,-57.14,64.69,-24.92,-65.31
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-56.85,214.8,65.85,-104.17
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-56.47,285.84,-5.84,-105.6
Tăng trưởng tổng tài sản,Total assets,22.0,10.49,-9.1,-12.58
Tăng trưởng nợ dài hạn,Long-term liabilities,8448.0,-5.37,-12.18,-57.87
Tăng trưởng nợ phải trả,Liabilities,15.83,12.26,-16.32,-15.85
Tăng trưởng vốn chủ sở hữu,Owner's equity,30.05,8.27,1.94,-7.05
Tăng trưởng vốn điều lệ,Charter capital,41.67,20.0,0.0,20.55
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.13,0.05,0.12,0.12
Tỷ số thanh toán nhanh,Quick ratio,0.67,0.46,0.53,0.42
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.25,0.08,0.16,0.16
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.48,1.34,1.37,1.28
Khả năng thanh toán lãi vay,Interest coverage,2.1,3.69,1.61,0.59
