item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,365636121.0,236735768.0,229379470.0,211990094.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,87528608.0,96678014.0,34222387.0,21959480.0
1. Tiền,1. Cash,12028608.0,7073014.0,4672387.0,10959480.0
2. Các khoản tương đương tiền,2. Cash equivalents,75500000.0,89605000.0,29550000.0,11000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,238749130.0,92273130.0,105005130.0,91200130.0
1. Chứng khoán kinh doanh,1. Available for sale securities,130.0,130.0,130.0,130.0
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,238749000.0,92273000.0,105005000.0,91200000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,11833520.0,21514890.0,23062192.0,9290034.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,6789557.0,13070490.0,13617612.0,2207778.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,1010131.0,61852.0,3958737.0,1535304.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,2600000.0,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,4159999.0,5908715.0,5485843.0,5546952.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-126167.0,-126167.0,,
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,9739337.0,8428454.0,47925456.0,68548069.0
1. Hàng tồn kho,1. Inventories,9739337.0,8428454.0,47925456.0,68548069.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,17785527.0,17841279.0,19164305.0,20992382.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,,80623.0,724048.0,565828.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,,,,715951.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,17785527.0,17760656.0,18440257.0,19710602.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,293307267.0,249149201.0,202054929.0,180335572.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,4282531.0,3994371.0,3728111.0,3473170.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,4282531.0,3994371.0,3728111.0,3473170.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,109543202.0,55252226.0,51751261.0,34434972.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,104220743.0,49739984.0,46125729.0,28634070.0
      - Nguyên giá,    - Cost,159025081.0,94112514.0,84721701.0,68665910.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-54804338.0,-44372530.0,-38595971.0,-40031840.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,5322459.0,5512242.0,5625531.0,5800902.0
      - Nguyên giá,    - Cost,16191700.0,16191700.0,16153700.0,16153700.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-10869241.0,-10679458.0,-10528169.0,-10352798.0
III. Bất động sản đầu tư,III. Investment properties,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,,,166075.0,12194839.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,,,166075.0,12194839.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,116299131.0,120678687.0,103000000.0,103000000.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",,,,
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,123977153.0,121451902.0,103000000.0,103000000.0
