item,item_en,2025,2024,2023,2022
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,1188256903.0,1018575979.0,989181986.0,1002023940.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,58323446.0,34838639.0,14490637.0,6493211.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,1129933457.0,983737340.0,974691349.0,995530729.0
4. Giá vốn hàng bán ,4. Cost of goods sold,581767657.0,513925929.0,521776048.0,524452698.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,548165800.0,469811411.0,452915301.0,471078031.0
6.Doanh thu hoạt động tài chính ,6. Financial income,13657017.0,24828175.0,53090457.0,21559418.0
7. Chi phí tài chính ,7. Financial expenses,108078759.0,117971027.0,18449878.0,11105554.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,108068012.0,107769516.0,20207092.0,14530485.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,208904503.0,180844468.0,171669932.0,173416146.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,109154468.0,130209016.0,147776653.0,167581253.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,135685086.0,65615076.0,168109295.0,140534496.0
12. Thu nhập khác ,12. Other income,12086892.0,158444867.0,6640875.0,289342.0
13. Chi phí khác ,13.Other expenses,12135949.0,15140346.0,33347316.0,13617631.0
14. Lợi nhuận khác,14. Other profit ,-49057.0,143304521.0,-26706441.0,-13328288.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,135636029.0,208919597.0,141402854.0,127206208.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,34974550.0,32363266.0,45354602.0,54953338.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),323926.0,-179258.0,-23563308.0,-84098.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,100337552.0,176735590.0,119611561.0,72336968.0
Lợi ích của cổ đông thiểu số,Minority's interest,23262239.0,-1052856.0,-10493359.0,-22329968.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,77075314.0,177788446.0,130104920.0,94666936.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),,889.0,611.0,473.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,1.0,0.0
