item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,411.64,397.43,544.01,629.64
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),11149.87,11069.48,11015.99,10952.32
Chỉ số giá thị trường trên thu nhập (P/E),P/E,26.24,30.19,18.38,12.55
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.97,1.08,0.91,0.72
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.07,0.1,0.1,0.08
Tỷ suất cổ tức,Dividend yield,0.02,0.02,0.02,0.04
Beta,Beta,1.35,1.33,1.54,1.94
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,17.51,20.5,12.32,7.3
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,13.2,14.92,9.58,5.58
Tỷ suất lợi nhuận gộp biên,Gross profit margin,2.86,3.33,3.75,3.9
Tỷ lệ lãi EBIT,EBIT margin,0.65,0.66,1.03,1.05
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,0.87,0.91,1.33,1.37
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,0.32,0.38,0.61,0.69
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,3.71,3.6,4.95,5.79
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),8.47,7.0,9.09,9.47
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,0.98,1.02,1.66,2.33
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,23.7,21.23,-1.49,80.19
Tăng trưởng  lợi nhuận gộp,Gross profit,6.27,7.42,-5.25,27.96
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,5.11,-20.65,-12.54,-1.68
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,3.58,-26.94,-13.6,7.67
Tăng trưởng tổng tài sản,Total assets,9.08,7.45,34.81,5.93
Tăng trưởng nợ dài hạn,Long-term liabilities,20.49,10.55,12.56,-6.89
Tăng trưởng nợ phải trả,Liabilities,12.24,10.35,56.99,9.18
Tăng trưởng vốn chủ sở hữu,Owner's equity,0.73,0.49,0.58,1.27
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.16,0.14,0.2,0.24
Tỷ số thanh toán nhanh,Quick ratio,1.07,1.07,1.06,1.18
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.56,0.5,0.56,0.68
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.16,1.19,1.21,1.35
Khả năng thanh toán lãi vay,Interest coverage,2.96,4.37,4.06,6.08
