item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,14296526527.0,11681882256.0,10978094259.0,12444969292.0
I. Tài sản tài chính ngắn hạn,Short-term financial assets,14145629581.0,11524006054.0,10820418739.0,12268174948.0
1. Tiền và các khoản tương đương tiền,1. Cash and cash equivalents,5981306870.0,907644058.0,485469404.0,993974308.0
1.1. Tiền,1.1. Cash,5981306870.0,907644058.0,485469404.0,993974308.0
1.2. Các khoản tương đương tiền,1.2. Cash equivalents,,,,
Các khoản đầu tư tài chính ngắn hạn,Short-term investments,,,,
+Đầu tư ngắn hạn,+ Short-term investments,,,,
+Đầu tư ngắn hạn của người ủy thác Đầu tư,+ Short-term investments of trust investors,,,,
Dự phòng giảm giá đầu tư ngắn hạn,Provision for diminution in value of short-term investments ,,,,
2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),2. Financial assets at fair value through profit or loss (FVTPL),2066371184.0,1797495975.0,2889220566.0,3117667254.0
3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),3. Held to maturity investments (HTM),1308389260.0,953349205.0,713349205.0,1173500000.0
4. Các khoản cho vay,4. Loans,1460080176.0,1046769285.0,879213386.0,1880784963.0
5. Các tài sản tài chính sẵn sàn để bán (AFS),5. Available-for-sale financial assets (AFS),,,,
6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,6. Provisions for impairment loss of financial assets and mortgages,,,,
7. Các khoản phải thu ngắn hạn,7. Short-term receivables,107495989.0,142090249.0,106841159.0,98909576.0
7.1. Phải thu bán các tài sản tài chính,7.1. Receivables from disposal of financial assets ,47874339.0,69726738.0,47723350.0,20436172.0
"7.2. Phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",7.2. Receivables and accruals from dividends and interest income,59621650.0,72363511.0,59117809.0,78473404.0
"7.2.1. Phải thu cổ tức, tiền lãi đến ngày nhận",7.2.1. Due dividend and interest receivables,,,,
"Trong đó: Phải thu khó đòi về cổ tức, tiền lãi đến ngày nhận  nhưng chưa nhận được","In which: Doubtful Receivables of dividends, interest to date of receipt but not yet received",,,,
"7.2.2. Dự thu cổ tức, tiền lãi chưa đến ngày nhận",7.2.2. Undue dividend and interest receivables,59621650.0,72363511.0,59117809.0,78473404.0
Trả trước cho người bán,Prepayments to suppliers,1715679.0,992750.0,435250.0,6230494.0
9. Phải thu các dịch vụ CTCK cung cấp,9. Service related receivable,3234192639.0,6672401579.0,5742499629.0,4993697046.0
Phải thu hoạt động giao dịch chứng khoán,Receivables from securities trading activities,,,,
10. Phải thu nội bộ ngắn hạn,10. Short -term inter-company receivables,,,,
11. Phải thu về lỗi giao dịch chứng khoán,11. Receivables of securities trading error,,,,
12. Các khoản phải thu khác,12. Other receivables,4132790.0,4095491.0,4222681.0,4243847.0
13. Dự phòng suy giảm giá trị các khoản phải thu,13. Provision for doubtful debts,-18055006.0,-832540.0,-832540.0,-832540.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,Provision for short-term doubtful debts,,,,
Phải thu khách hàng,Trade accounts receivable,,,,
Hàng tồn kho,Inventories,,,,
Hàng tồn kho (chi tiết),Inventories (Detail),,,,
Dự phòng giảm giá hàng tồn kho,Provision for decline in value of inventories ,,,,
II. Tài sản ngắn hạn khác,II. Other short-term assets,150896947.0,157876202.0,157675520.0,176794345.0
1. Tạm ứng,1. Advances,145629503.0,155708359.0,155115240.0,173821016.0
"2. Vật tư văn phòng, công cụ, dụng cụ","2. Office supplies, tools",,,,
3. Chi phí trả trước ngắn hạn,3. Short-term prepayments,5170444.0,2070843.0,2403280.0,2816329.0
"4. Cầm cố, thế chấp, ký quỹ, ký cược ngắn hạn","4. Pledged assets, mortgages, security deposits in short term",97000.0,97000.0,157000.0,157000.0
