item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,-2175.39,-81.73,-34.0,-27.21
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),8409.97,10585.37,10446.39,10480.88
Chỉ số giá thị trường trên thu nhập (P/E),P/E,-11.95,-318.12,-426.51,-466.79
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,3.09,2.46,1.39,1.21
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,38.96,2771.55,0.0,0.0
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,1.82,1.11,0.39,0.84
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,-48.51,-641.43,-598.24,-446.34
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,-123.68,-816.0,0.0,0.0
Tỷ lệ lãi EBIT,EBIT margin,-146.56,-646.76,0.0,0.0
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,-39.86,-25.94,0.0,0.0
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,-326.01,-795.28,0.0,0.0
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,-22.9,-0.76,-0.32,-0.24
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),-3.32,-0.29,-0.25,-0.24
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,-5.51,-0.3,-0.18,-0.18
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,7013.1,0.0,0.0,0.0
Tăng trưởng  lợi nhuận gộp,Gross profit,-1178.1,0.0,0.0,0.0
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-3015.87,-354.56,-259.35,-311.71
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-3015.87,-354.56,-259.35,-311.71
Tăng trưởng tổng tài sản,Total assets,57.23,60.5,40.14,98.72
Tăng trưởng nợ dài hạn,Long-term liabilities,24.89,258.71,0.0,0.0
Tăng trưởng nợ phải trả,Liabilities,98.17,98.72,119.43,1369.75
Tăng trưởng vốn chủ sở hữu,Owner's equity,-20.55,17.54,-0.33,37.87
Tăng trưởng vốn điều lệ,Charter capital,0.0,16.0,0.0,33.33
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.15,0.51,0.09,0.59
Tỷ số thanh toán nhanh,Quick ratio,0.51,1.36,0.45,0.72
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.15,0.51,0.09,0.59
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,0.51,1.36,0.45,0.72
Khả năng thanh toán lãi vay,Interest coverage,-0.82,-4.35,0.0,0.0
