item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,24175702852.0,21281715195.0,21462673926.0,20683355968.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,375924180.0,115998897.0,25200284.0,83960643.0
1. Tiền,1. Cash,375924080.0,15998897.0,25200284.0,83960643.0
2. Các khoản tương đương tiền,2. Cash equivalents,100.0,100000000.0,,
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,,,100000000.0,100000000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,,,100000000.0,100000000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,6999950386.0,6099491943.0,7143050128.0,6366677166.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,1929691601.0,2083502058.0,1954727239.0,1802364666.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,4080107333.0,3043692795.0,4252853927.0,3582227911.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,114075174.0,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,1016192997.0,876763461.0,954010506.0,1000626133.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-26041544.0,-18541544.0,-18541544.0,-18541544.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,16714675448.0,14977294135.0,14106010266.0,14037857780.0
1. Hàng tồn kho,1. Inventories,16714675448.0,14977294135.0,14106010266.0,14037857780.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,85152838.0,88930220.0,88413249.0,94860379.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,8864828.0,9334540.0,7782399.0,2477408.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,72936712.0,79595679.0,80630850.0,92382971.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,3351298.0,,,
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,3095577242.0,2963801861.0,2763689833.0,2411139690.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,76045250.0,620646100.0,425506905.0,38724893.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,34739358.0,270116838.0,337379217.0,
6. Phải thu dài hạn khác,6. Other long-term receivables,41305893.0,350529261.0,88127688.0,38724893.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,733237507.0,735801541.0,738464547.0,741226511.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,332737507.0,335301541.0,337964547.0,340662549.0
      - Nguyên giá,    - Cost,410059896.0,410059896.0,410684198.0,410684198.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-77322388.0,-74758355.0,-72719651.0,-70021649.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,400500000.0,400500000.0,400500000.0,400563962.0
      - Nguyên giá,    - Cost,415506260.0,415506260.0,415506260.0,415506260.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-15006260.0,-15006260.0,-15006260.0,-14942298.0
III. Bất động sản đầu tư,III. Investment properties,61711189.0,62095219.0,62479249.0,62863278.0
      - Nguyên giá,    - Cost,75664270.0,75664270.0,75664270.0,75664270.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-13953081.0,-13569052.0,-13185022.0,-12800992.0
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,533458452.0,533458452.0,533458452.0,533458452.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,533458452.0,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,533458452.0,533458452.0,,533458452.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,710745975.0,24411198.0,23646747.0,35907464.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",710745975.0,24411198.0,23646747.0,35907464.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,,,,
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,,,,
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,980378868.0,987389351.0,980133933.0,998959092.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,979141754.0,984176163.0,978892814.0,994155401.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,1237114.0,3213188.0,1241119.0,4803691.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,27271280094.0,24245517055.0,24226363759.0,23094495658.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,14847341574.0,12304782948.0,12370619933.0,11986343673.0
I. Nợ ngắn hạn,I. Short -term liabilities,10258755171.0,7601727635.0,7592640178.0,8126017224.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,164133084.0,120776002.0,143384559.0,181749187.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,237657192.0,24891384.0,50834501.0,26713061.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,198058862.0,213125385.0,379767671.0,303292142.0
4. Phải trả người lao động,4. Payable to employees,9085079.0,8847298.0,8788649.0,9062555.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,335734961.0,389979097.0,437561980.0,452863607.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,,
8. Doanh thu chưa thực hiện ngắn hạn,8. Short-term unearned revenue,,,,
9. Phải trả ngắn hạn khác,9. Other short-term payables,8176960740.0,5624628104.0,5636488340.0,5640555078.0
10. Vay và nợ thuê tài chính ngắn hạn,10. Short-term borrowings and financial leases,1106136070.0,1189139122.0,904113290.0,1480698357.0
11. Dự phòng phải trả ngắn hạn,11. Provision for short-term liabilities,,,,
"12. Quỹ khen thưởng, phúc lợi",12.. Bonus and welfare fund,30989183.0,30341243.0,31701187.0,31083238.0
13. Quỹ bình ổn giá,13. Price stabilization fund,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,14. Government bonds,,,,
II. Nợ dài hạn ,II. Long-term liabilities,4588586403.0,4703055313.0,4777979754.0,3860326448.0
1. Phải trả người bán dài hạn,1. Long-term trade payables,,,,
2. Người mua trả tiền trước dài hạn,2. Long-term advances from customers,,,,
3. Chi phí phải trả dài hạn,3. Long-term acrrued expenses,,,,
4. Phải trả nội bộ về vốn kinh doanh,4. Inter-company payables on business capital,,,,
5. Phải trả nội bộ dài hạn,5. Long-term inter-company payables,,,,
6. Doanh thu chưa thực hiện dài hạn,6. Long-term unearned revenue,,,,
7. Phải trả dài hạn khác,7. Other long-term liabilities,150530672.0,5100.0,5100.0,4031165.0
8. Vay và nợ thuê tài chính dài hạn,8. Long-term borrowings and financial leases,4438055731.0,4703050213.0,4777974654.0,3856295284.0
9. Trái phiếu chuyển đổi,9. Convertible bonds,,,,
10. Cổ phiếu ưu đãi (Nợ),10. Preferred stock (Debts),,,,
11. Thuế thu nhập hoãn lại phải trả,11. Deferred income tax liabilities,,,,
12. Dự phòng phải trả dài hạn,12. Provision for long-term liabilities,,,,
13. Quỹ phát triển khoa học và công nghệ,13. Fund for technology development,,,,
14. Dự phòng trợ cấp mất việc làm,14. Provision for severance allowances,,,,
B. VỐN CHỦ SỞ HỮU,B. OWNER'S EQUITY ,12423938521.0,11940734107.0,11855743827.0,11108151985.0
I. Vốn chủ sở hữu,I. Owner's equity,12423938521.0,11940734107.0,11855743827.0,11108151985.0
1. Vốn góp của chủ sở hữu,1. Owner's capital ,9978093790.0,9798093790.0,9072350830.0,8731400830.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Common stock with voting right,9978093790.0,9798093790.0,9072350830.0,8731400830.0
- Cổ phiếu ưu đãi,- Preferred stock,,,,
2. Thặng dư vốn cổ phần,2. Share premium,410424800.0,410424800.0,410424800.0,70474800.0
3. Quyền chọn chuyển đổi trái phiếu,3. Convertible bond option,,,,
4. Vốn khác của chủ sở hữu,4. Other capital of owners,,,,
5. Cổ phiếu quỹ (*),5. Treasury shares,,,,
6. Chênh lệch đánh giá lại tài sản,6. Assets revaluation differences,,,,
7. Chênh lệch tỷ giá hối đoái,7. Foreign exchange differences,,,,
8. Quỹ đầu tư phát triển,8. Investment and development fund,248462645.0,248462645.0,248462645.0,243810015.0
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,9. Fund to support corporate restructuring,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,10. Other funds from owner's equity,,,,
11. Lợi nhuận sau thuế chưa phân phối,11. Undistributed earnings after tax,1736087533.0,1425482383.0,2066285586.0,2004247727.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- Accumulated retained earning at the end of the previous period,1226168325.0,1226168325.0,1951911285.0,1954616001.0
- LNST chưa phân phối kỳ này,- Undistributed earnings in this period,509919209.0,199314058.0,114374301.0,49631725.0
12. Nguồn vốn đầu tư XDCB,12. Reserves for investment in construction,,,,
13. Lợi ích cổ đông không kiểm soát,13. Minority's interest,50869752.0,58270490.0,58219965.0,58218614.0
14. Quỹ dự phòng tài chính,14. Financial reserves,,,,
II. Nguồn kinh phí và quỹ khác,II. Other resources and funds ,,,,
1. Nguồn kinh phí,1. Subsidized not-for-profit funds,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,2. Funds invested in fixed assets,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,C. MINORITY'S INTEREST,,,,
TỔNG CỘNG NGUỒN VỐN,TOTAL OWNER'S EQUITY AND LIABILITIES ,27271280094.0,24245517055.0,24226363759.0,23094495658.0
