item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,0.8,-32.42,-124.48,-210.57
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),2611.0,2612.0,2566.0,2748.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,5093.48,-114.13,-32.13,-23.27
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.57,1.42,1.56,1.78
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.62,0.74,0.73,0.95
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,0.4,0.33,0.65,0.66
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,-85072.53,76.26,713.41,-87.96
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,39.85,23.76,35.14,-180.57
Tỷ suất lợi nhuận gộp biên,Gross profit margin,4.36,5.41,4.86,4.37
Tỷ lệ lãi EBIT,EBIT margin,0.0,0.92,0.1,-1.04
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,0.36,1.41,0.57,-0.51
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,0.0,0.91,0.09,-1.05
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,0.0,1.77,0.2,-1.94
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),0.0,1.75,0.2,-1.89
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,0.0,0.96,0.11,-1.0
ROE bình quân 4 quý gần nhất,ROE Trailling,0.03,-1.24,-4.65,-7.7
ROA bình quân 4 quý gần nhất,ROA Trailling,0.02,-0.64,-2.37,-3.73
Tăng trưởng  doanh thu thuần,Net revenue,-1.16,-27.95,-26.48,-38.36
Tăng trưởng  lợi nhuận gộp,Gross profit,6.26,22.0,19.57,-17.73
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,0.0,0.0,0.0,0.0
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,0.0,0.0,0.0,0.0
Tăng trưởng tổng tài sản,Total assets,0.0,-6.25,-20.88,-20.72
Tăng trưởng nợ dài hạn,Long-term liabilities,341.11,16.73,12.15,-11.28
Tăng trưởng nợ phải trả,Liabilities,-0.03,-11.72,-34.47,-30.8
Tăng trưởng vốn chủ sở hữu,Owner's equity,2.47,-1.12,-4.32,-7.07
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.08,0.12,0.12,0.1
Tỷ số thanh toán nhanh,Quick ratio,0.8,0.65,0.65,0.55
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.09,0.12,0.12,0.1
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,0.85,0.74,0.69,0.72
Khả năng thanh toán lãi vay,Interest coverage,-0.26,226.68,23.32,-199.99
