item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,7786198717.0,5633705163.0,4852246308.0,4098174272.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,191426223.0,149860626.0,130360565.0,81442005.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,7594772494.0,5483844536.0,4721885743.0,4016732267.0
4. Giá vốn hàng bán ,4. Cost of goods sold,7235533691.0,5209121510.0,4518828937.0,3824027939.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,359238803.0,274723027.0,203056806.0,192704328.0
6.Doanh thu hoạt động tài chính ,6. Financial income,120396472.0,152677823.0,114961223.0,57743016.0
7. Chi phí tài chính ,7. Financial expenses,111886756.0,78112489.0,81033351.0,46225329.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,85059636.0,103529592.0,75964242.0,46334026.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,444815.0,-2502160.0,-3404679.0,
9. Chi phí bán hàng ,9. Selling expenses,153768421.0,128039267.0,115417496.0,92836157.0
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,94476086.0,37425292.0,48750558.0,53818959.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,119948828.0,181321641.0,69411945.0,57566899.0
12. Thu nhập khác ,12. Other income,10523047.0,3820560.0,6516229.0,3154991.0
13. Chi phí khác ,13.Other expenses,748514.0,1738615.0,903111.0,161984.0
14. Lợi nhuận khác,14. Other profit ,9774533.0,2081945.0,5613118.0,2993007.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,129723361.0,183403586.0,75025064.0,60559906.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,26103981.0,38354923.0,20399723.0,15685076.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),-111654.0,-111654.0,,151964.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,103731033.0,145160316.0,54625341.0,44722866.0
Lợi ích của cổ đông thiểu số,Minority's interest,33372061.0,39964206.0,8742929.0,8681278.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,70358972.0,105196111.0,45882411.0,36041588.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),659.0,986.0,430.0,338.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
