item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,2415.42,1402.35,1100.81,1229.22
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),24925.71,21909.71,20485.53,22957.15
Chỉ số giá thị trường trên thu nhập (P/E),P/E,14.45,17.93,25.07,15.01
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.4,1.15,1.35,0.8
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.17,0.14,0.17,0.09
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,1.3,1.49,2.31,2.23
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,12.82,13.81,13.33,11.3
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,11.69,9.65
Tỷ suất lợi nhuận gộp biên,Gross profit margin,4.72,4.67,4.2,5.51
Tỷ lệ lãi EBIT,EBIT margin,3.36,2.24,2.86,2.22
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,3.68,2.63,3.26,2.6
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,1.61,1.15,0.81,0.95
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,10.31,6.62,5.25,5.52
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),28.89,18.55,22.28,18.13
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,2.17,1.52,1.2,1.26
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,14.53,10.6,-1.86,-0.31
Tăng trưởng  lợi nhuận gộp,Gross profit,15.79,23.2,-25.31,2.97
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,59.41,55.26,-14.39,-48.69
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,72.24,34.32,0.9,-58.3
Tăng trưởng tổng tài sản,Total assets,33.4,7.23,4.87,6.43
Tăng trưởng nợ dài hạn,Long-term liabilities,74.21,-48.34,-54.96,-31.97
Tăng trưởng nợ phải trả,Liabilities,39.27,7.32,4.53,6.46
Tăng trưởng vốn chủ sở hữu,Owner's equity,13.77,6.95,6.01,6.32
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,18.67,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.13,0.23,0.15,0.16
Tỷ số thanh toán nhanh,Quick ratio,0.99,0.94,0.88,0.78
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.53,0.59,0.51,0.43
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.15,1.16,1.14,1.13
Khả năng thanh toán lãi vay,Interest coverage,2.61,2.97,1.59,2.21
