item,item_en,2025,2024,2023,2022
1. Thu nhập lãi và các khoản thu nhập tương tự,1. Interest income and similar income,4731668000.0,3496810000.0,3455868000.0,2748340000.0
2. Chi phí lãi và các chi phí tương tự,2. Interest expense and similar expenses,2760555000.0,1837972000.0,2154514000.0,1538115000.0
I. Thu nhập lãi thuần,I. Net interest income ,1971113000.0,1658838000.0,1301354000.0,1210225000.0
3. Thu nhập từ hoạt động dịch vụ,3. Fee and commission income,201064000.0,100087000.0,99301000.0,117677000.0
4. Chi phí hoạt động dịch vụ,4. Fee and commission expenses,68350000.0,82183000.0,64611000.0,38452000.0
II. Lãi/lỗ thuần từ hoạt động dịch vụ,II. Net fee and commission income ,132714000.0,17904000.0,34690000.0,79225000.0
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,III. Net gain/(loss) from foreign currencies and gold trading,93486000.0,251000.0,19451000.0,42681000.0
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,IV. Net gain/(loss) from trading securities,,,,27266000.0
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,V. Net gain/(loss) from investment securities,61835000.0,-54677000.0,-3454000.0,
5. Thu nhập từ hoạt động khác,5. Other income,416228000.0,209949000.0,43472000.0,170683000.0
6. Chi phí hoạt động khác,6. Other expenses,138498000.0,1016000.0,2175000.0,18643000.0
VI. Lãi/lỗ thuần từ hoạt động khác,VI. Net other income ,277730000.0,208933000.0,41297000.0,152040000.0
"VII. Thu nhập từ góp vốn, mua cổ phần",VII. Income from capital contribution and long-term investments,1809000.0,148000.0,132000.0,44000.0
VIII. Chi phí hoạt động,VIII. Operating expenses,1126947000.0,973967000.0,808209000.0,745913000.0
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),IX. Operating profit before provision for credit losses,1411740000.0,857430000.0,585261000.0,765568000.0
X. Chi phí dự phòng rủi ro tín dụng,X. Provision for credit losses,643422000.0,431982000.0,234029000.0,259833000.0
XI. Tổng lợi nhuận trước thuế (IX-X),XI. Profit before tax ,768318000.0,425448000.0,351232000.0,505735000.0
7. Chi phí thuế TNDN hiện hành,7. Current corporate income tax expenses,153664000.0,85645000.0,71337000.0,102048000.0
8. Chi phí thuế TNDN hoãn lại,8. Deferred income tax expenses (*),,,,
XII. Chi phí thuế TNDN,XII. Corporate income tax ,153664000.0,85645000.0,71337000.0,102048000.0
XIII. Lợi nhuận sau thuế (XI-XII),XIII. Net profit after tax,614654000.0,339803000.0,279895000.0,403687000.0
XIV. Lợi ích của cổ đông thiểu số,XIV. Minority interest,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),XV. Net profit atttributable to the equity holders of the Bank ,614654000.0,339803000.0,279895000.0,403687000.0
Lãi cơ bản trên cổ phiếu (BCTC) (VNÐ),Earning per share (VND),1256.0,809.0,666.0,1346.0
