item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,1700.56,1377.16,1613.61,2145.55
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),14904.0,16133.0,15414.0,14904.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,13.88,17.79,16.36,14.29
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.58,1.52,1.71,2.06
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,0.83,0.78,0.88,1.19
Tỷ suất cổ tức,Dividend yield,0.06,0.06,0.06,0.05
Beta,Beta,0.2,0.35,0.42,0.57
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,32.92,10.55,16.42,15939.69
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,4.22,7.28,6.91,4.6
Tỷ lệ lãi EBIT,EBIT margin,1.34,3.0,2.67,0.0
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,1.7,3.4,3.14,0.5
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,1.05,2.4,2.16,0.0
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,1.94,4.75,4.29,0.0
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),2.47,5.94,5.29,0.01
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,0.8,1.94,1.74,0.0
ROE bình quân 4 quý gần nhất,ROE Trailling,11.09,8.98,10.46,13.88
ROA bình quân 4 quý gần nhất,ROA Trailling,4.54,3.63,4.26,5.63
Tăng trưởng  doanh thu thuần,Net revenue,-0.39,6.36,2.58,11.62
Tăng trưởng  lợi nhuận gộp,Gross profit,14.74,-10.69,-16.09,-29.52
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,0.0,-22.15,-45.72,-99.76
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,0.0,-23.98,-45.01,-99.96
Tăng trưởng tổng tài sản,Total assets,-5.13,1.0,-2.65,11.11
Tăng trưởng nợ dài hạn,Long-term liabilities,0.0,0.0,0.0,0.0
Tăng trưởng nợ phải trả,Liabilities,-8.35,3.1,-3.82,17.62
Tăng trưởng vốn chủ sở hữu,Owner's equity,-0.14,-1.85,-0.89,2.8
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.53,0.64,0.59,0.52
Tỷ số thanh toán nhanh,Quick ratio,1.5,1.52,1.5,1.49
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.94,0.95,0.91,0.86
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.53,1.55,1.53,1.51
Khả năng thanh toán lãi vay,Interest coverage,98.82,1178.36,0.0,0.0
