item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,2643080020.0,2575003671.0,2693371978.0,2541264956.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,450879307.0,481441782.0,274734314.0,199705573.0
1. Tiền,1. Cash,205779307.0,165665351.0,85476918.0,114586501.0
2. Các khoản tương đương tiền,2. Cash equivalents,245100000.0,315776430.0,189257396.0,85119072.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,1612317638.0,1408463145.0,1651394598.0,1652072671.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,1612317638.0,1408463145.0,1651394598.0,1652072671.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,158005812.0,305217281.0,173892209.0,153286334.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,26543802.0,46892140.0,25342666.0,27726096.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,79634686.0,75396098.0,74175926.0,73399466.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,7722.0,7722.0,1404.0,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,56283837.0,187336566.0,79236570.0,57017158.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-4464236.0,-4415245.0,-4864358.0,-4856386.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,312924969.0,297004635.0,476800482.0,447766846.0
1. Hàng tồn kho,1. Inventories,313327762.0,297222179.0,477018027.0,447984391.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-402793.0,-217544.0,-217544.0,-217544.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,108952294.0,82876829.0,116550375.0,88433532.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,914786.0,1764247.0,35675347.0,5812760.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,58260345.0,58334192.0,58944625.0,57633180.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,49777162.0,22778390.0,21930403.0,24987592.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,,,,
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,3518466720.0,3592059139.0,3375377243.0,3379861202.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,243790.0,243962.0,246467.0,241001.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,,,,
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,243790.0,243962.0,246467.0,241001.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,,,,
II. Tài sản cố định,II. Fixed assets,1733778012.0,1753453588.0,1805415485.0,1814933269.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,1733017030.0,1753049319.0,1804988336.0,1814482112.0
      - Nguyên giá,    - Cost,3037412225.0,3026117301.0,3043485972.0,3008022237.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-1304395195.0,-1273067982.0,-1238497636.0,-1193540125.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,760983.0,404269.0,427149.0,451157.0
      - Nguyên giá,    - Cost,1865563.0,1487963.0,1495527.0,1481014.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-1104580.0,-1083694.0,-1068378.0,-1029857.0
III. Bất động sản đầu tư,III. Investment properties,159569367.0,162133480.0,163567174.0,167179370.0
      - Nguyên giá,    - Cost,265223943.0,264193272.0,262004013.0,262004013.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-105654576.0,-102059791.0,-98436838.0,-94824643.0
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,478333053.0,481359526.0,478181824.0,470900737.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,76174915.0,76080805.0,76036076.0,76012678.0
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,402158138.0,405278721.0,402145748.0,394888059.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,790937966.0,839691248.0,561498164.0,555434231.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",440961740.0,420832781.0,426021697.0,394637765.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,130766467.0,129766467.0,129766467.0,129766467.0
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,-28465390.0,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,247675150.0,289092000.0,5710000.0,31030000.0
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,355604531.0,355177335.0,366468129.0,371172594.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,331832096.0,330606266.0,332165068.0,333978468.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,23772435.0,24571068.0,34303061.0,37194127.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,,,,
5. Lợi thế thương mại,5. Goodwill,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,6161546741.0,6167062810.0,6068749221.0,5921126158.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
