item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,59846284403.0,65161869398.0,66274987488.0,58986937922.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,10803153849.0,12616557940.0,10765084811.0,10446733577.0
1. Tiền,1. Cash,7698094682.0,6991887183.0,6546709786.0,6918908801.0
2. Các khoản tương đương tiền,2. Cash equivalents,3105059167.0,5624670757.0,4218375026.0,3527824776.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,17727397745.0,17587554404.0,21240585794.0,20016387717.0
1. Chứng khoán kinh doanh,1. Available for sale securities,6641023.0,6691023.0,6691023.0,6691023.0
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),-1909000.0,-1987789.0,-2044655.0,-2102400.0
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,17722665722.0,17582851170.0,21235939426.0,20011799094.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,16174564465.0,17374395180.0,16245387403.0,11896134250.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,15784908025.0,17290266373.0,16047855471.0,11631122793.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,545613980.0,456947381.0,407942922.0,383849824.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,1150939114.0,870450000.0,795275395.0,739787830.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-1307659989.0,-1243962017.0,-1006289922.0,-858998820.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,763335.0,693444.0,603538.0,372624.0
IV. Hàng tồn kho,IV. Inventories,13948225931.0,16617288860.0,16789906620.0,15677477473.0
1. Hàng tồn kho,1. Inventories,14147031406.0,16852498068.0,17005741332.0,16011682679.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-198805475.0,-235209209.0,-215834712.0,-334205206.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,1192942413.0,966073015.0,1234022860.0,950204905.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,355307102.0,389991058.0,530426721.0,352717486.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,467570455.0,424249810.0,534986831.0,412686747.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,369256605.0,151121807.0,167849396.0,184088542.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
5. Tài sản ngắn hạn khác,5. Other short-term assets,808251.0,710340.0,759912.0,712130.0
B. TÀI SẢN DÀI HẠN,B. LONG-TERM ASSETS ,26270236294.0,26413041979.0,21135983567.0,21048936519.0
I. Các khoản phải thu dài hạn,I. Long-term receivables,40496474.0,31270409.0,32075714.0,31128857.0
1. Phải thu dài hạn của khách hàng,1. Long-term trade receivables,275000.0,275000.0,275000.0,285000.0
2. Trả trước cho người bán dài hạn,2. Long-term prepayments to suppliers  ,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,3. Capital at inter-company,,,,
4.  Phải thu nội bộ dài hạn ,4. Long-term inter-company receivables,,,,
5. Phải thu về cho vay dài hạn,5. Long-term loan receivables,,,,
6. Phải thu dài hạn khác,6. Other long-term receivables,40376474.0,35126199.0,36731504.0,36374647.0
7. Dự phòng phải thu dài hạn khó đòi (*),7. Provision for long-term doubtful debts,-155000.0,-4130790.0,-4930790.0,-5530790.0
II. Tài sản cố định,II. Fixed assets,14483534494.0,13004516547.0,13092925799.0,13248957528.0
1. Tài sản cố định hữu hình,1. Tangible fixed assets,12054651222.0,10581701932.0,10679134655.0,10864936587.0
      - Nguyên giá,    - Cost,40086385042.0,38214494746.0,37984755786.0,37758717747.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-28031733820.0,-27632792814.0,-27305621131.0,-26893781160.0
2. Tài sản cố định thuê tài chính,2. Financial leased fixed assets,,,,
      - Nguyên giá,    - Cost,,,,
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,,,,
3. Tài sản cố định vô hình,3. Intangible fixed assets,2428883272.0,2422814615.0,2413791144.0,2384020941.0
      - Nguyên giá,    - Cost,3430704640.0,3404004526.0,3381738275.0,3337105272.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-1001821367.0,-981189911.0,-967947130.0,-953084331.0
III. Bất động sản đầu tư,III. Investment properties,115829655.0,104179947.0,105787074.0,107389890.0
      - Nguyên giá,    - Cost,210067694.0,196445435.0,196445435.0,196445435.0
      - Giá trị hao mòn lũy kế (*),    - Accumulated depreciation,-94238039.0,-92265488.0,-90658361.0,-89055546.0
IV. Tài sản dở dang dài hạn,IV. Long-term assets in progress,1244578390.0,2040791374.0,1747230098.0,1379702990.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",1. Long-term production in progress,,,,
2. Chi phí xây dựng cơ bản dở dang,2. Construction in progress,1244578390.0,2040791374.0,1747230098.0,1379702990.0
V. Đầu tư tài chính dài hạn,V. Long-term financial investments,6716908156.0,7668059596.0,2771798740.0,2973417696.0
1. Đầu tư vào công ty con,1. Investments in subsidiaries,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2. Investments in associates, joint-ventures",1578979813.0,1530350200.0,1630205999.0,1578404697.0
3. Đầu tư góp vốn vào đơn vị khác,3. Investments in other entities,260411709.0,260411709.0,260411709.0,260411709.0
4. Dự phòng đầu tư tài chính dài hạn (*),4. Provision for diminution in value of long-term investments,-122483366.0,-122702314.0,-118818967.0,-118798709.0
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Held to maturity investments,5000000000.0,6000000000.0,1000000000.0,1253400000.0
6. Đầu tư dài hạn khác,6. Other long-term investments,,,,
VI. Tài sản dài hạn khác,VI. Other long-term assets,3668889124.0,3564224106.0,3386166141.0,3308339559.0
1. Chi phí trả trước dài hạn,1. Long-term prepayments,3376753954.0,3256394659.0,3209877246.0,3156124378.0
2. Tài sản thuế thu nhập hoãn lại,2. Deferred income tax assets,287301652.0,302980813.0,172321199.0,148076942.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Long-term equipment, supplies, spare parts",,,,
4. Tài sản dài hạn khác,4. Other long-term assets,4833519.0,4848634.0,3967696.0,4138239.0
5. Lợi thế thương mại,5. Goodwill,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),VII. Goodwill (before 2015),,,,
TỔNG CỘNG TÀI SẢN,TOTAL ASSETS,86116520697.0,91574911377.0,87410971055.0,80035874442.0
NGUỒN VỐN,OWNER'S EQUITY,,,,
A. NỢ PHẢI TRẢ,A.  LIABILITIES ,56640123798.0,62675251688.0,59232773172.0,50515699095.0
I. Nợ ngắn hạn,I. Short -term liabilities,55679642773.0,61730228024.0,58473208236.0,49731701033.0
1. Phải trả người bán ngắn hạn,1.  Short-term trade accounts payable,28062515035.0,27748767038.0,27877419572.0,21982452638.0
2. Người mua trả tiền trước ngắn hạn,2. Short-term advances from customers,496360120.0,346632828.0,604571410.0,310432900.0
3. Thuế và các khoản phải nộp Nhà nước,3. Taxes and other payables to state authorities,2150753289.0,2121649511.0,2263604400.0,1812150794.0
4. Phải trả người lao động,4. Payable to employees,1844396945.0,1599678471.0,1155698452.0,822616147.0
5. Chi phí phải trả ngắn hạn,5. Short-term acrrued expenses,650939840.0,877668583.0,778000499.0,709699472.0
6. Phải trả nội bộ ngắn hạn,6. Short-term inter-company payables,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,7. Construction contract progress payments due to suppliers,,,,
8. Doanh thu chưa thực hiện ngắn hạn,8. Short-term unearned revenue,13528204.0,16593755.0,16762047.0,15596360.0
9. Phải trả ngắn hạn khác,9. Other short-term payables,491191386.0,415622983.0,480983671.0,366314620.0
10. Vay và nợ thuê tài chính ngắn hạn,10. Short-term borrowings and financial leases,18075346323.0,24663239578.0,20800208891.0,20055168162.0
11. Dự phòng phải trả ngắn hạn,11. Provision for short-term liabilities,275260046.0,226140968.0,233513234.0,231875191.0
"12. Quỹ khen thưởng, phúc lợi",12.. Bonus and welfare fund,531792768.0,628294717.0,1178033602.0,342544554.0
13. Quỹ bình ổn giá,13. Price stabilization fund,3087558818.0,3085939591.0,3084412459.0,3082850195.0
14. Giao dịch mua bán lại trái phiếu Chính phủ,14. Government bonds,,,,
II. Nợ dài hạn ,II. Long-term liabilities,960481025.0,945023663.0,759564936.0,783998062.0
1. Phải trả người bán dài hạn,1. Long-term trade payables,,,,
2. Người mua trả tiền trước dài hạn,2. Long-term advances from customers,16891411.0,17056411.0,17056411.0,15767761.0
3. Chi phí phải trả dài hạn,3. Long-term acrrued expenses,51084497.0,47783482.0,38114227.0,38911890.0
4. Phải trả nội bộ về vốn kinh doanh,4. Inter-company payables on business capital,,,,
5. Phải trả nội bộ dài hạn,5. Long-term inter-company payables,,,,
6. Doanh thu chưa thực hiện dài hạn,6. Long-term unearned revenue,15351298.0,17505735.0,17505735.0,17604220.0
7. Phải trả dài hạn khác,7. Other long-term liabilities,122036473.0,108987782.0,94744847.0,84597811.0
8. Vay và nợ thuê tài chính dài hạn,8. Long-term borrowings and financial leases,618718115.0,554091688.0,440857361.0,463536211.0
9. Trái phiếu chuyển đổi,9. Convertible bonds,,,,
10. Cổ phiếu ưu đãi (Nợ),10. Preferred stock (Debts),,,,
11. Thuế thu nhập hoãn lại phải trả,11. Deferred income tax liabilities,122184261.0,104596097.0,72726387.0,101462702.0
12. Dự phòng phải trả dài hạn,12. Provision for long-term liabilities,14214969.0,95002469.0,78559969.0,62117469.0
13. Quỹ phát triển khoa học và công nghệ,13. Fund for technology development,,,,
14. Dự phòng trợ cấp mất việc làm,14. Provision for severance allowances,,,,
B. VỐN CHỦ SỞ HỮU,B. OWNER'S EQUITY ,29476396899.0,28899659689.0,28178197883.0,29520175346.0
I. Vốn chủ sở hữu,I. Owner's equity,29476396899.0,28899659689.0,28178197883.0,29520175346.0
1. Vốn góp của chủ sở hữu,1. Owner's capital ,12938780810.0,12938780810.0,12938780810.0,12938780810.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Common stock with voting right,12938780810.0,12938780810.0,12938780810.0,12938780810.0
- Cổ phiếu ưu đãi,- Preferred stock,,,,
2. Thặng dư vốn cổ phần,2. Share premium,7359059317.0,7359059317.0,7359059317.0,7359059317.0
3. Quyền chọn chuyển đổi trái phiếu,3. Convertible bond option,,,,
4. Vốn khác của chủ sở hữu,4. Other capital of owners,1143845379.0,1143832516.0,1143832516.0,966832516.0
5. Cổ phiếu quỹ (*),5. Treasury shares,-232858460.0,-232858460.0,-232858460.0,-232858460.0
6. Chênh lệch đánh giá lại tài sản,6. Assets revaluation differences,-1279967589.0,-1279967589.0,-1279967589.0,-1279967589.0
7. Chênh lệch tỷ giá hối đoái,7. Foreign exchange differences,169053380.0,170691106.0,171473147.0,164016427.0
8. Quỹ đầu tư phát triển,8. Investment and development fund,2036014885.0,2036255533.0,2036253926.0,2097514040.0
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,9. Fund to support corporate restructuring,,,,
