item,item_en,2025,2024,2023,2022
I. Lưu chuyển tiền từ hoạt động kinh doanh, I. CASH FLOWS FROM OPERATING ACTIVITIES ,,,,
1. Lợi nhuận trước thuế,1. Profit before tax,102999486.0,100312772.0,104602411.0,104480438.0
2. Điều chỉnh cho các khoản, 2. Adjustments for: ,,,,
 Khấu hao TSCĐ và BĐSĐT,Depreciation of fixed assets and properties investment,12008431.0,11432306.0,11937657.0,12542819.0
Các khoản dự phòng,(Reversal of provisions)/provisions,9806.0,31824.0,-452195.0,-407620.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",Foreign exchange (gain)/loss from revaluation of monetary items denominated in foreign currencies,-1279.0,-2366.0,-1084.0,-987.0
"Lãi, lỗ từ hoạt động đầu tư",Loss/(profit) from investment activities,-4647411.0,-9495866.0,-19972966.0,-14120611.0
Chi phí lãi vay,Interest expense,302466.0,,,
"Lãi, lỗ từ thanh lý TSCĐ",Loss/(profits) from disposal of fixed asset,,,,
Thu nhập lãi vay và cổ tức,Interest income and dividends,,,,
Phân bổ lợi thế thương mại,Allocation of goodwill,,,,
Điều chỉnh cho các khoản khác,Adjustments for,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Operating profit before changes in  working capital,110671499.0,102278671.0,96113823.0,102494039.0
"Tăng, giảm các khoản phải thu",(Increase)/decrease in receivables,-10769733.0,-14355955.0,-5504865.0,3869697.0
"Tăng, giảm hàng tồn kho",(Increase)/decrease in inventories,-32810750.0,-3875434.0,37302215.0,-33167488.0
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)","Increase/(decrease) in payables (other than interest, corporate income tax)",24669713.0,16444989.0,6564464.0,7740957.0
"Tăng, giảm chi phí trả trước",(Increase)/decrease in prepaid expenses,-29631579.0,-955600.0,-965782.0,1831043.0
"Tăng, giảm chứng khoán kinh doanh",Changes in available for sale securities,,,,
Tiền lãi vay đã trả,Interest paid,,,,
Thuế thu nhập doanh nghiệp đã nộp,Corporate income tax paid,-19714451.0,-21420968.0,-20580985.0,-20903049.0
Tiền thu khác từ hoạt động kinh doanh,Other receipts from operating activities,,,,
Tiền chi khác cho hoạt động kinh doanh,Other payments for operating activities,-23946947.0,-24134569.0,-18238873.0,-24871994.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Net cash flows from operating activities,18467753.0,53981133.0,94689997.0,36993204.0
II. Lưu chuyển tiền từ hoạt động đầu tư, II. CASH FLOWS FROM INVESTING ACTIVITIES ,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","1. Payment for fixed assets, constructions and other long-term assets",-77399412.0,-14754229.0,-8012348.0,-5318264.0
