item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,529.79,681.37,708.89,977.84
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),13945.0,14053.0,14098.0,14275.0
Chỉ số giá thị trường trên thu nhập (P/E),P/E,18.61,15.43,15.94,11.66
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,0.71,0.76,0.82,0.81
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.98,2.29,1.9,2.42
Tỷ suất cổ tức,Dividend yield,0.05,0.08,0.07,0.07
Beta,Beta,0.3,0.44,0.58,0.56
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,18.06,-135.56,515.23,56.73
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,10.14,-1.67,1.34,6.16
Tỷ lệ lãi EBIT,EBIT margin,9.61,-1.65,0.37,4.26
Tỷ lệ lãi EBITDA,EBITDA/Net revenue,10.33,-0.86,0.98,5.0
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,7.89,-0.95,0.31,3.41
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,2.8,-0.32,0.13,1.15
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),Return on capital employed (ROCE),3.41,-0.55,0.16,1.44
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,2.44,-0.27,0.11,0.92
ROE bình quân 4 quý gần nhất,ROE Trailling,3.76,4.91,5.08,6.97
ROA bình quân 4 quý gần nhất,ROA Trailling,3.14,4.06,4.15,5.53
Tăng trưởng  doanh thu thuần,Net revenue,-9.0,2.13,-21.43,-23.04
Tăng trưởng  lợi nhuận gộp,Gross profit,152.83,0.0,-79.72,-0.62
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-15.2,0.0,-93.66,-58.97
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-29.43,0.0,-93.51,-66.75
Tăng trưởng tổng tài sản,Total assets,-5.15,-6.32,-13.05,-15.56
Tăng trưởng nợ dài hạn,Long-term liabilities,0.0,0.0,0.0,0.0
Tăng trưởng nợ phải trả,Liabilities,-23.41,-29.81,-42.93,-46.4
Tăng trưởng vốn chủ sở hữu,Owner's equity,-1.06,-2.21,-2.02,0.21
Tăng trưởng vốn điều lệ,Charter capital,0.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.51,0.14,0.02,0.01
Tỷ số thanh toán nhanh,Quick ratio,2.3,2.81,1.91,1.78
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.56,0.15,0.02,0.01
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,3.21,4.09,2.79,2.43
Khả năng thanh toán lãi vay,Interest coverage,0.0,0.0,0.0,0.0
