item,item_en,2025,2024,2023,2022
1. Doanh thu phí bảo hiểm (01= (01.1+01.2-01.3),1. Insurance premium (01=01.1+01.2-01.3),2775761357.0,2431835154.0,2411269384.0,2053277130.0
- Thu phí bảo hiểm gốc,1. Gross written premium,,,,
- Thu phí nhận tái bảo hiểm,2. Reinsurance premium assumed,3107031846.0,2483361110.0,2457312990.0,2444143777.0
- Tăng (giảm) dự phòng phí bảo hiểm gốc và nhận tái bảo hiểm,- Increase/(Decrese) in gross unearned premium reserve,331270489.0,51525955.0,46043606.0,390866648.0
2. Phí nhượng tái bảo hiểm,2. Reinsurance premium ceded,1354691191.0,1329542904.0,1282766939.0,1127727932.0
- Phí nhượng tái bảo hiểm,  - Reinsurance premium ceded,1494285562.0,1248145108.0,1397650635.0,1251570578.0
- Tăng (giảm) dự phòng phí nhượng tái bảo hiểm,-Increase/(Decrease) in ceded unearned premium reserve,139594371.0,-81397796.0,114883696.0,123842646.0
Các khoản giảm trừ,3. Deductions,,,,
- Giảm phí Bảo hiểm,  - Premium deduction,,,,
- Hoàn phí Bảo hiểm,  - Premium returns,,,,
- Các khoản giảm trừ khác,  - Others,,,,
"Tăng (giảm) dự phòng phí, dự phòng toán học",4. Increase (Decrease) in unearned premium reserve and technical reserve,,,,
3. Doanh thu phí bảo hiểm thuần (03=01-02),3. Net insurance premium  (03=01-02),1421070166.0,1102292250.0,1128502445.0,925549197.0
4. Hoa hồng nhượng tái bảo hiểm và doanh thu khác HĐKDBH (04=04.1+04.2),4. Commission on reinsurance ceded and other insurance income (04=04.1+04.2),287690447.0,259273322.0,279191423.0,273878981.0
- Thu hoa hồng nhượng tái Bảo hiểm,5. Commissions on reinsurance ceded,251526903.0,226896165.0,245054647.0,246078951.0
- Thu khác hoạt động kinh doanh Bảo hiểm,6. Other income,36163544.0,32377157.0,34136775.0,27800030.0
+ Thu khác nhận tái Bảo hiểm,  - Income on reinsurance assumed,,,,
+ Thu khác nhượng tái bảo hiểm,  - Income on reinsurance ceded,,,,
"+ Thu khác (giám định, đại lý,…)",  - Income from other activities,36163544.0,32377157.0,34136775.0,27800030.0
5. Doanh thu thuần HĐKD BH (10=03+04),7. Total net revenue from insurance business ,1708760613.0,1361565572.0,1407693868.0,1199428179.0
5.1. Doanh thuần BH và CCDV,7.1.Revenue,,,,
6. Chi bồi thường,11. Claim expenses on retained risks,1135235591.0,833493928.0,890048684.0,937436987.0
- Tổng chi bồi thường,Total claim expenses,1135235591.0,833493928.0,890048684.0,937436987.0
"+ Chi bồi thường bảo hiểm gốc, trả tiền bảo hiểm",8. Claim and maturity payment expenses,1135235591.0,833493928.0,890048684.0,937436987.0
"+ Chi bồi thường nhận tái bảo hiểm, trả tiền bảo hiểm",9. Claim expenses for reinsurance assumed,,,,
- Các khoản giảm trừ,10. Deductions,,,,
+ Thu đòi người thứ ba bồi hoàn,  - Subrogation recoveries,,,,
+ Thu hàng đã xử lý bồi thường 100%,  - Salvages,,,,
7. Thu bồi thường nhượng tái bảo hiểm,  - Recoveries from reinsurance ceded,718053438.0,526928175.0,464017013.0,560436292.0
Tăng (giảm) dự phòng toán học (dành riêng BVH),Increase(Decrease) in mathematical reserve,,,,
8. Tăng (giảm) dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,8. Increase(Decrease) in claim reserves for direct insurance and reinsurance assumed,-89916612.0,624224855.0,-202173142.0,-141662263.0
9. Tăng (giảm) dự phòng bồi thường nhượng tái bảo hiểm,9. Increase(Decrease) in claim reserves related to reinsurance  ceded,-360614623.0,349414923.0,-277034502.0,-170907894.0
9.1. Tăng (giảm) dự phòng bồi thường,13. Increase in claim reserve,270698011.0,274809932.0,74861360.0,29245631.0
10. Tổng chi bồi thường bảo hiểm (15=11-12+13-14),Total claim insurance expenses,687880164.0,581375685.0,500893031.0,406246326.0
11. Tăng (giảm) dự phòng dao động lớn,14. Provision for catastrophe reserve,48382389.0,-47943520.0,31789871.0,35777196.0
Chi bồi thường từ dự phòng dao động lớn,12. Claim expenses using catastrophe reserve,,,,
12. Chi khác hoạt động kinh doanh bảo hiểm,15. Other insurance operating expenses,854125485.0,758317035.0,771406267.0,676303071.0
- Chi hoa hồng bảo hiểm,   + Commission,749048232.0,651116051.0,671124646.0,588278958.0
- Chi phí khác hoạt động kinh doanh bảo hiểm,Other insurance operating expenses,105077253.0,107200984.0,100281620.0,88024114.0
+ Chi khác hoạt động kinh doanh bảo hiểm gốc,  - Other underwriting expenses,105077253.0,107200984.0,100281620.0,88024114.0
• Chi giám định tổn thất,   + Damage assessment expenses,,,,
• Chi đòi người thứ 3,   + Subrogation recovery expenses,,,,
• Chi xử lý hàng bồi thường 100%,   + Salvage expenses,,,,
• Chi đánh giá rủi ro của đối tượng bảo hiểm,"   + Loss adjusting fee, risk assessment ",,,,
"• Chi đề phòng hạn chế rủi ro, tổn thất",   + Risk minimization expenses,,,,
• Chi khác,   + Others,105077253.0,107200984.0,100281620.0,88024114.0
+ Chi khác hoạt động kinh doanh nhận tái bảo hiểm,  - Other reinsurance assumed expenses,,,,
• Chi hoa hồng nhận tái bảo hiểm,   + Commission,,,,
• Chi đánh giá rủi ro của đối tượng bảo hiểm,"   + Loss adjusting fee, risk assessment ",,,,
• Chi khác,   + Others,,,,
+ Chi hoạt động nhượng tái bảo hiểm,  - Other reinsurance ceded expenses,,,,
+ Chi phí trực tiếp kinh doanh hoạt động khác,  - Other direct operating expenses,,,,
13. Tổng chi phí hoạt động kinh doanh bảo hiểm,16. Total direct insurance operating expenses ,1590388037.0,1291749200.0,1304089168.0,1118326594.0
"13.1. Giá vốn cung cấp hàng hóa, dịch vụ khác",13.1. Cost of providing other goods and services,,,,
14. Lợi nhuận gộp hoạt động kinh doanh bảo hiểm,17. Gross insurance operating profit ,118372576.0,69816372.0,103604700.0,81101585.0
"14.1. Lợi nhuận gộp cung cấp hàng hóa, dịch vụ khác",14.1. Gross profit of providing other goods and services,,,,
14.2. Lợi nhuận thuần hoạt động kinh doanh bảo hiểm,20. Profit from insurance operating  ,,,,
15. Doanh thu kinh doanh bất động sản đầu tư,15. Revenue from properties investment,,,,
16. Giá vốn bất động sản đầu tư,16. Cost of properties investment,,,,
17. Lợi nhuận từ hoạt động đầu tư bất động sản (22=20-21),17. Profit from properties investment (22=20-21),,,,
18. Doanh thu hoạt động tài chính,21. Revenue from financial activities,295805851.0,274712941.0,253416943.0,183581688.0
19. Chi hoạt động tài chính,22. Expenses on financial activities,74528982.0,57096202.0,58947832.0,38771123.0
- Dự phòng toán học trích lãi từ đầu tư,  - Mathematical reserve for investment profit sharing,,,,
   - Dự phòng chia lãi,  - Dividend reserve,,,,
   - Chi khác hoạt động tài chính,  - Others,74528982.0,57096202.0,58947832.0,38771123.0
20. Lợi nhuận gộp hoạt động tài chính,23. Profit form financial activities,221276869.0,217616739.0,194469112.0,144810565.0
Chi phí bán hàng,18. Selling expenses,,,,
21. Chi phí quản lý doanh nghiệp,19. Administrative expenses,41458268.0,46662734.0,40954851.0,35631294.0
22. Lợi nhuận thuần từ hoạt động kinh doanh,22. Operating profit,298191177.0,240770376.0,257118961.0,190280856.0
23. Thu nhập khác,24. Other incomes,,,,
24. Chi phí  khác,25. Other expenses,544421.0,570529.0,719666.0,
25. Lợi nhuận khác,26. Other profits,-544421.0,-570529.0,-719666.0,
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,27. Share of profitin associates and joint ventures,,,,
26. Tổng lợi nhuận kế toán trước thuế,27. Total profit ,297646756.0,240199847.0,256399295.0,190280856.0
Các khoản điều chỉnh tăng (+) hoặc giảm (-) lợi nhuận để xác định lợi nhuận chịu thuế TNDN,28. Increasing or decreasing adjustments to define taxable profit,,,,
Tổng lợi nhuận trước thuế thu nhập doanh nghiệp,29. Total profit before tax ,297646756.0,240199847.0,256399295.0,190280856.0
Dự phòng đảm bảo cân đối,30. Equalization reserve,,,,
Lợi nhuận chịu thuế thu nhập doanh nghiệp,31. Taxable profit ,297646756.0,240199847.0,256399295.0,190280856.0
27. Chi phí thuế thu nhập hiện hành,32. Current corporate income tax expenses,61409122.0,49675162.0,54237612.0,37620185.0
28. Chi phí thuế thu nhập hoãn lại,33. Deferred income tax expenses (*),,,,
29. Lợi nhuận sau thuế thu nhập doanh nghiệp,34. Profit after tax  ,236237634.0,190524685.0,202161683.0,152660671.0
30. Lợi ích của cổ đông thiểu số,35. Minority interest,,,,
31. Lợi nhuận sau thuế của cổ đông của Công ty mẹ,36. Profit after tax for shareholders of the parent company ,236237634.0,190524685.0,202161683.0,152660671.0
