item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,2129235154.0,2127021587.0,2034804638.0,1974591000.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,390262457.0,445828535.0,361301933.0,322869471.0
1. Tiền,1. Cash,66062457.0,83828535.0,73801933.0,111869471.0
2. Các khoản tương đương tiền,2. Cash equivalents,324200000.0,362000000.0,287500000.0,211000000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,659736210.0,621176218.0,612079246.0,666923646.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,659736210.0,621176218.0,612079246.0,666923646.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,514149867.0,499953472.0,485392626.0,445502924.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,51682205.0,48223963.0,29220274.0,38387787.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,62420292.0,68194889.0,70897878.0,12884979.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,92347102.0,102347102.0,107347102.0,107347102.0
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,390818638.0,357635058.0,353709477.0,362665159.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-83118369.0,-76447540.0,-75782104.0,-75782104.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,526857806.0,513546961.0,524688418.0,493624736.0
1. Hàng tồn kho,1. Inventories,565283251.0,551972406.0,563149594.0,532158360.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,-38425445.0,-38425445.0,-38461176.0,-38533624.0
V. Tài sản ngắn hạn khác,V. Other short-term assets,38228813.0,46516401.0,51342414.0,45670223.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,3704314.0,12236090.0,16755672.0,11914018.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,15844968.0,15587531.0,15362888.0,15074554.0
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,18679531.0,18692780.0,19223853.0,18681651.0
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
