item,item_en,2025,2024,2023,2022
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),Trailing EPS,2470.59,4001.11,3144.3,-4321.06
Giá trị sổ sách của cổ phiếu (BVPS),Book value per share (BVPS),22074.85,29677.62,25676.42,22532.83
Chỉ số giá thị trường trên thu nhập (P/E),P/E,13.76,9.0,11.67,-11.55
Chỉ số giá thị trường trên giá trị sổ sách (P/B),P/B,1.54,1.21,1.43,2.21
Chỉ số giá thị trường trên doanh thu thuần (P/S),P/S,1.26,0.74,0.6,0.78
Tỷ suất cổ tức,Dividend yield,0.0,0.0,0.0,0.0
Beta,Beta,0.29,0.44,0.13,0.25
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),EV/EBIT,0.0,0.0,0.0,0.0
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",EV/EBITDA,0.0,0.0,0.0,0.0
Tỷ suất lợi nhuận gộp biên,Gross profit margin,12.65,11.34,6.37,-3.89
Tỷ suất sinh lợi trên doanh thu thuần,Net profit margin,8.94,8.27,5.18,-6.74
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),ROE,11.55,14.46,13.05,-17.4
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),ROA,3.48,3.87,3.05,-4.1
ROE bình quân 4 quý gần nhất,ROE Trailling,0.0,0.0,0.0,0.0
ROA bình quân 4 quý gần nhất,ROA Trailling,0.0,0.0,0.0,0.0
Tăng trưởng  doanh thu thuần,Net revenue,-16.24,-20.23,-5.33,3.81
Tăng trưởng  lợi nhuận gộp,Gross profit,-6.55,42.02,54.96,-126.59
Tăng trưởng lợi nhuận trước thuế ,Profit before tax,-7.95,25.95,-6.93,-204.75
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,Profit after tax for shareholders of the parent company,-9.36,27.25,-27.23,-234.98
Tăng trưởng tổng tài sản,Total assets,-1.18,2.5,-1.86,-2.22
Tăng trưởng nợ dài hạn,Long-term liabilities,197.12,265.51,-50.51,-9.87
Tăng trưởng nợ phải trả,Liabilities,-6.21,-1.89,-6.23,2.8
Tăng trưởng vốn chủ sở hữu,Owner's equity,11.57,15.58,13.95,-16.91
Tăng trưởng vốn điều lệ,Charter capital,50.0,0.0,0.0,0.0
Tỷ số thanh toán bằng tiền mặt,Cash ratio,0.13,0.01,0.11,0.04
Tỷ số thanh toán nhanh,Quick ratio,1.35,1.12,1.16,1.14
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)","Quick ratio (except: Inventories,  Short-term receivables - reference)",0.83,0.61,0.66,0.62
Tỷ số thanh toán hiện hành (ngắn hạn),Short-term ratio,1.35,1.12,1.16,1.14
