item,item_en,2025-Q4,2025-Q3,2025-Q2,2025-Q1
1. Doanh thu bán hàng và cung cấp dịch vụ ,1. Revenue,5724054777.0,6921477023.0,7255204374.0,7315682444.0
2. Các khoản giảm trừ doanh thu,2. Deduction from revenue,3085981772.0,4621007374.0,4931050444.0,5136617482.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Net revenue  ,2638073004.0,2300469649.0,2324153930.0,2179064961.0
4. Giá vốn hàng bán ,4. Cost of goods sold,2579269216.0,1820400293.0,1838853731.0,1799254036.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Gross profit,58803788.0,480069356.0,485300199.0,379810926.0
6.Doanh thu hoạt động tài chính ,6. Financial income,365201443.0,379077399.0,352511043.0,332583187.0
7. Chi phí tài chính ,7. Financial expenses,190818292.0,105898678.0,129845447.0,100931712.0
   Trong đó :Chi phí lãi vay,    Of which: Interest expenses,13277046.0,14450292.0,15121328.0,6098706.0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",8. Share of associates and joint ventures' result,,,,
9. Chi phí bán hàng ,9. Selling expenses,,,,
10. Chi phí quản lý doanh nghiệp ,10. General and administrative expenses,265235304.0,190346153.0,180101226.0,191171293.0
11. Lợi nhuận thuần từ hoạt động kinh doanh,11. Operating profit ,-32048365.0,562901924.0,527864569.0,420291107.0
12. Thu nhập khác ,12. Other income,54261345.0,42911507.0,50773353.0,44373706.0
13. Chi phí khác ,13.Other expenses,53474983.0,41693362.0,48595080.0,41560705.0
14. Lợi nhuận khác,14. Other profit ,786362.0,1218145.0,2178273.0,2813001.0
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,Share of associates and joint ventures' result,,,,
15. Tổng lợi nhuận kế toán trước thuế,15. Profit before tax,-31262003.0,564120068.0,530042842.0,423104109.0
16. Chi phí thuế TNDN hiện hành,16. Current corporate income tax expenses,-10151569.0,124211362.0,105260494.0,82257767.0
17. Chi phí thuế TNDN hoãn lại ,17. Deferred income tax expenses (*),7759305.0,19118308.0,-12090023.0,-6824069.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Net profit after tax,-28869739.0,420790398.0,436872371.0,347670410.0
Lợi ích của cổ đông thiểu số,Minority's interest,9616481.0,13682217.0,14103388.0,11348595.0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,Profit after tax for shareholders of parent company,-38486220.0,407108181.0,422768983.0,336321816.0
19. Lãi cơ bản trên cổ phiếu (*) (VNÐ),19. Earnings per share (VND),1399.0,1647.0,1783.0,1419.0
20. Lãi suy giảm trên cổ phiếu (*),20. Diluted earnings per share,,,,
