item,item_en,2025,2024,2023,2022
TÀI SẢN ,ASSETS,,,,
A. TÀI SẢN NGẮN HẠN,A. SHORT-TERM ASSETS,1639957609.0,1321371234.0,1228030519.0,1435205708.0
I. Tiền và các khoản tương đương tiền,I. Cash and cash equivalents,503914078.0,280519537.0,108634554.0,754469061.0
1. Tiền,1. Cash,413914078.0,93439537.0,27884554.0,25876061.0
2. Các khoản tương đương tiền,2. Cash equivalents,90000000.0,187080000.0,80750000.0,728593000.0
II.  Đầu tư tài chính ngắn hạn,II.  Short-term financial investments,818785000.0,720810000.0,875099000.0,193470000.0
1. Chứng khoán kinh doanh,1. Available for sale securities,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),2. Provision for diminution in value of available for sale securities (*),,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,3. Held to maturity investments,818785000.0,720810000.0,875099000.0,193470000.0
III. Các khoản phải thu ngắn hạn,III. Short-term receivables,291658302.0,300150143.0,225239870.0,480103199.0
1. Phải thu ngắn hạn của khách hàng,1. Short-term trade accounts receivable,250537432.0,288077961.0,185783494.0,468543188.0
2. Trả trước cho người bán ngắn hạn,2. Short-term prepayments to suppliers  ,114428.0,49846.0,514587.0,10796.0
3. Phải thu nội bộ ngắn hạn,3. Short-term inter-company receivables,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Construction contract progress receipts due from customers,,,,
5. Phải thu về cho vay ngắn hạn,5. Short-term loan receivables,,,,
6. Phải thu ngắn hạn khác,6. Other short-term receivables ,114079616.0,85095510.0,115385745.0,89159714.0
7. Dự phòng phải thu ngắn hạn khó đòi (*),7. Provision for short-term doubtful debts (*),-73073174.0,-73073174.0,-76443956.0,-77610500.0
8. Tài sản thiếu chờ xử lý,8. Assets awaiting resolution,,,,
IV. Hàng tồn kho,IV. Inventories,22443624.0,16025826.0,13662305.0,6534641.0
1. Hàng tồn kho,1. Inventories,22443624.0,16025826.0,13662305.0,6534641.0
2. Dự phòng giảm giá hàng tồn kho (*),2. Provision for decline in value of inventories ,,,,
V. Tài sản ngắn hạn khác,V. Other short-term assets,3156605.0,3865727.0,5394790.0,628807.0
1. Chi phí trả trước ngắn hạn,1. Short-term prepayments,3156605.0,3865727.0,5394790.0,628807.0
2. Thuế GTGT được khấu trừ,2. Value added tax to be reclaimed,,,,
3. Thuế và các khoản khác phải thu của nhà nước,3. Taxes and other receivables from state authorities,,,,
4. Giao dịch mua bán lại trái phiếu chính phủ,4. Government bonds,,,,
